csvSource,review,label
Abrantes.csv,"Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King.",v
Abrantes.csv,"He vivido 35 años en el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Desgraciadamente el barrio que conocí prácticamente ha desaparecido. La gente joven se ha ido a otras zonas a vivir. Una pena",n
Abrantes.csv,"localización con muchos bares interesantes",n
Abrantes.csv,"Espero que hayan mejorais",v
Acacias.csv,"La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con discapacidad. Además comunica por un pasillo subterráneo (que parece infinito) con Embajadores que pertenece a la línea 3 de metro",v
Acacias.csv,"😂…",n
Acacias.csv,"Bien",v
Acacias.csv,"Bonito comodo",v
Acacias.csv,"Muy rica comida..",n
Acacias.csv,"Estación del.metro",n
Acacias.csv,"jajaja",n
Aeropuerto T1-T2-T3.csv,"La terminal está bien ordenada y señalizada pero veo que falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande.",v
Aeropuerto T1-T2-T3.csv,"Muchos vuelos y destinos. Muchas tiendas. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior. Eso mejoraría la imagen de estas terminales!",n
Aeropuerto T1-T2-T3.csv,"Buena accesibilidad, limpieza en las instalaciones, señalización óptima.. Personal resolutivo, en el control de aduanas agilidad y buen servicio. Este aeropuerto esta a la altura de los mejores de Europa..",n
Aeropuerto T1-T2-T3.csv,"Es bastante grande y con todos los servicios cubiertos. Las únicas cosas malas son: 1. Los baños: La gente suele ser poco limpia y es muy incómodo tener que hacer ejercicio antes de un viaje porque quieras mear y tienes que estar sujetando la puerta por un lado porque no tiene pestillo o está roto y haciendo sentadillas por otro lado porque no quieres tocar la taza ya que está sucia. 2. Los puestos de cambio de moneda: Si queréis cambiar la moneda es preferible que lo hagáis en un banco o en cualquier otro sitio y no aquí, dicen que no te cobran comisiones pero es mentira o por lo menos a mi me dieron de menos al cambio de moneda (les di 131,94€ para cambiar a coronas noruegas; ellas me dieron 1.000 coronas cuando me deberían de haber dado 1.532,83 coronas, es decir, se quedaron con 45,86€ a la hora de hacer el cambio). Y ellas me pidieron que les diese el 1,94€ para supuestamente darme las 1000 coronas justas. Quitando eso es un lugar en el que tienes de TODO y las personas del punto de información y las que me ayudaron para hacer el chek-in y facturar las maletas eran super amables y tuvieron algo de paciencia conmigo ya que era mi primer vuelo y tenía bastantes dudas.",n
Aeropuerto T1-T2-T3.csv,"El parking express es súper caro pero da un buen servicio",n
Aeropuerto T1-T2-T3.csv,"Normalmente los accesos son rápidos...depende del dia y la hora, pero aún así...pasar  control de equipajes son 5 min. Una vez pasado el control, depende de la terminal, puedes tener un paseo largo hasta la puerta de embarque!",n
Aeropuerto T1-T2-T3.csv,"La T1 y T2 están bien, adecuados al flujo de pasajeros con buena iluminacion, limpieza, restauración y señalizacion. Heche en falta sitio para cargar los móviles. Por lo demás bien.",n
Aeropuerto T1-T2-T3.csv,"Aeropuerto de Madrid. Adolfo Suarez... es a espectacular arquitectónicamente. Cómodo y fácil de ubicarte #LetsGuide #rosafrancomendoza",n
Aeropuerto T1-T2-T3.csv,"La T1 está en obras incluido su estacionamiento (P1)  cuyo aspecto mejora mucho su aspecto. Esperemos al final de las obras; ¿Para cuándo?",n
Aeropuerto T1-T2-T3.csv,"Bien indicado, limpio, cómodo y rápido para la cantidad de gente que hay en ese lugar",v
Aeropuerto T1-T2-T3.csv,"en 2021 todavía hay agentes de seguridad en la T2 Madrid que confiscan droga(médicamente)  (ungüentos) y otros por razones de seguridad? !!  y vaciar la basura por la noche",n
Aeropuerto T1-T2-T3.csv,"Experiencia funesta si vienes de la T 1 y tienes vuelo en la T 4 tienes que salir fuera.Nadie te informa y debes pasar seguridad de nuevo. Le pongo una estrella porque no hay 0",n
Aeropuerto T1-T2-T3.csv,"Es un aeropuerto demasiado grande , que puedes tardar más de 30 minutos caminado hasta tu puerta de embarque ( hay señalización de los minutos que te hacen falta jajaja), es lo que más me llamo la atención porque terminas agotado antes de viajar… Pero bueno lo demás muy bien!!!",n
Aeropuerto T1-T2-T3.csv,"Buen sitio para hacer espera en tus escalas con múltiples tiendas para comprar lo que gustes y hacer de tu estadía en el sitio más agradable, tomando en cuenta el flujo de personas que tiene todo están bike distribuido para que sea cómoda y bueno el momento.",n
Aeropuerto T1-T2-T3.csv,"Muchas colas, no hay WC público.",v
Aeropuerto T1-T2-T3.csv,"El control de seguridad de entrada a la terminal T2 se convierte en una auténtica gymkana si viajas sola con un bebé. Hay que sacar al bebé (esté dormido o despierto) de la mochila de porteo o del carro, plegar el carro, subirlo a la cinta…",n
Aeropuerto T1-T2-T3.csv,"Todo está muy bien adaptado para todas las personas",v
Aeropuerto T1-T2-T3.csv,"Buenos paneles informativos, parking de pago exterior, señalización adecuada, pero se concentra mucha gente en los puntos de facturación y se echa de menos recogida de mesas en zonas de restauración, pocos asientos disponibles. En general bien.",n
Aeropuerto T1-T2-T3.csv,"Espacios adecuados al flujo de pasajeros con buena iluminacion y señalizacion. Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a traves de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad",v
Aeropuerto T1-T2-T3.csv,"Excelente. Un aeropuerto de lujo. Realmente muy moderno, funcional y cómodo para trasladarse a las diferentes terminales",n
