OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"He vivido 35 años en el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Desgraciadamente el barrio que conocí prácticamente ha desaparecido. La gente joven se ha ido a otras zonas a vivir. Una pena",“Llevo 35 años viviendo en el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Desgraciadamente, el barrio que yo conocía prácticamente ha desaparecido. Los jóvenes se han ido a vivir a otras zonas. Qué pena”.,0.94928193,0.631578947368421
"localización con muchos bares interesantes","Ubicación con muchos bares interesantes",0.79388344,0.6666666666666666
"…","",0.90572846,0
"Muy rica comida..",“Comida muy sabrosa.”,0.7065462,0.5
"Estación del.metro","Estación de metro",0.9638938,0.25
"jajaja","Jajajaja",0.99025345,0.0
"Muchos vuelos y destinos. Muchas tiendas. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior. Eso mejoraría la imagen de estas terminales!","Hay muchos vuelos y destinos. Hay muchas tiendas. Pero las instalaciones/infraestructuras necesitan una renovación y pintura exterior. ¡Eso mejoraría la imagen de estas terminales!",0.953647,0.6071428571428571
"Buena accesibilidad, limpieza en las instalaciones, señalización óptima.. Personal resolutivo, en el control de aduanas agilidad y buen servicio. Este aeropuerto esta a la altura de los mejores de Europa..",“Buena accesibilidad, instalaciones limpias, señalización óptima... Personal atento, ágil y buen servicio en el control de aduanas. Este aeropuerto está a la altura de los mejores de Europa.”,0.9563846,0.7666666666666667
"Es bastante grande y con todos los servicios cubiertos. Las únicas cosas malas son: 1. Los baños: La gente suele ser poco limpia y es muy incómodo tener que hacer ejercicio antes de un viaje porque quieras mear y tienes que estar sujetando la puerta por un lado porque no tiene pestillo o está roto y haciendo sentadillas por otro lado porque no quieres tocar la taza ya que está sucia. 2. Los puestos de cambio de moneda: Si queréis cambiar la moneda es preferible que lo hagáis en un banco o en cualquier otro sitio y no aquí, dicen que no te cobran comisiones pero es mentira o por lo menos a mi me dieron de menos al cambio de moneda (les di 131,94€ para cambiar a coronas noruegas; ellas me dieron 1.000 coronas cuando me deberían de haber dado 1.532,83 coronas, es decir, se quedaron con 45,86€ a la hora de hacer el cambio). Y ellas me pidieron que les diese el 1,94€ para supuestamente darme las 1000 coronas justas. Quitando eso es un lugar en el que tienes de TODO y las personas del punto de información y las que me ayudaron para hacer el chek-in y facturar las maletas eran super amables y tuvieron algo de paciencia conmigo ya que era mi primer vuelo y tenía bastantes dudas.","Es bastante grande y con todos los servicios cubiertos. Lo único malo son: 1. Los baños: La gente no suele ser muy limpia y es muy incómodo tener que hacer ejercicio antes de un viaje porque quieres hacer pis y tienes que sujetar la puerta de un lado porque no tiene pestillo o está rota y hacer sentadillas del otro lado porque no quieres tocar el váter porque está sucio. 2. Los lugares de cambio de moneda: Si quieres cambiar la moneda es mejor hacerlo en un banco o en otro sitio y no aquí, dicen que no te cobran comisiones pero es mentira o al menos a mí me dieron menos al cambiar moneda (les di 131,94€ para cambiar a coronas noruegas; me dieron 1.000 coronas cuando me tendrían que haber dado 1.532,83 coronas, es decir, se quedaron con 45,86€ al hacer el cambio). Y me pidieron que les diera los 1,94€ para supuestamente darme las 1.000 coronas “Aparte de eso es un lugar donde tienes TODO y la gente del mostrador de información y los que me ayudaron con el check-in y la facturación de mis maletas fueron súper amables y tuvieron algo de paciencia conmigo ya que era mi primer vuelo y tenía muchas preguntas.”,0.96220315,0.6601307189542484
"El parking express es súper caro pero da un buen servicio",“El parking express es súper caro pero da un buen servicio”,0.995456,1.0
"Normalmente los accesos son rápidos...depende del dia y la hora, pero aún así...pasar  control de equipajes son 5 min. Una vez pasado el control, depende de la terminal, puedes tener un paseo largo hasta la puerta de embarque!",“Normalmente el acceso es rápido… depende del día y la hora, pero aún así… pasar por el control de equipajes lleva 5 minutos. Una vez que pasas por el control, dependiendo de la terminal, ¡puede que tengas que caminar mucho hasta la puerta de embarque!”,0.92344105,0.425531914893617
"La T1 y T2 están bien, adecuados al flujo de pasajeros con buena iluminacion, limpieza, restauración y señalizacion. Heche en falta sitio para cargar los móviles. Por lo demás bien.","La T1 y la T2 están bien, adecuadas para el flujo de pasajeros, con buena iluminación, limpieza, restauración y señalización. Echo de menos un sitio para cargar el móvil. Por lo demás, está bien.",0.9474962,0.6
"Aeropuerto de Madrid. Adolfo Suarez... es a espectacular arquitectónicamente. Cómodo y fácil de ubicarte #LetsGuide #rosafrancomendoza","Aeropuerto de Madrid. Adolfo Suárez... Arquitectónicamente espectacular. Cómodo y de fácil acceso #LetsGuide #rosafrancomendoza.",0.99022245,0.75
"La T1 está en obras incluido su estacionamiento (P1)  cuyo aspecto mejora mucho su aspecto. Esperemos al final de las obras; ¿Para cuándo?","La T1 está en construcción, incluido el estacionamiento (P1), y lucirá mucho mejor. Esperemos a que terminen las obras. ¿Cuándo?",0.8721195,0.42857142857142855
"en 2021 todavía hay agentes de seguridad en la T2 Madrid que confiscan droga(médicamente)  (ungüentos) y otros por razones de seguridad? !!  y vaciar la basura por la noche",“¡¡Incluso en 2021, hay guardias de seguridad en la T2 de Madrid que confiscan medicamentos (médicos) (ungüentos) y otras cosas por razones de seguridad!! y vacían los contenedores de basura por la noche”.,0.8440378,0.5333333333333333
"Experiencia funesta si vienes de la T 1 y tienes vuelo en la T 4 tienes que salir fuera.Nadie te informa y debes pasar seguridad de nuevo. Le pongo una estrella porque no hay 0",“Tuve una experiencia horrible. Si vienes de la T 1 y te subes a un vuelo de la T 4, tienes que salir nadie te informa y tienes que pasar por seguridad nuevamente. Le puse una estrella porque no hay ceros. .,0.84383917,0.575
"Es un aeropuerto demasiado grande , que puedes tardar más de 30 minutos caminado hasta tu puerta de embarque ( hay señalización de los minutos que te hacen falta jajaja), es lo que más me llamo la atención porque terminas agotado antes de viajar… Pero bueno lo demás muy bien!!!",“Es un aeropuerto muy grande, y te puede llevar más de 30 minutos caminar hasta tu puerta de embarque (hay carteles que indican cuantos minutos necesitas, jaja), eso fue lo que más me llamó la atención porque terminas agotado antes de viajar... Pero todo lo demás es genial!!!”,0.91981864,0.5384615384615384
"Buen sitio para hacer espera en tus escalas con múltiples tiendas para comprar lo que gustes y hacer de tu estadía en el sitio más agradable, tomando en cuenta el flujo de personas que tiene todo están bike distribuido para que sea cómoda y bueno el momento.",“Un buen lugar para esperar durante tus escalas con múltiples tiendas para comprar lo que te guste y hacer más agradable tu estancia en el sitio, teniendo en cuenta el flujo de gente que todo esté bicidistribuido para que sea cómodo y el momento sea bueno”.,0.8262943,0.5319148936170213
"El control de seguridad de entrada a la terminal T2 se convierte en una auténtica gymkana si viajas sola con un bebé. Hay que sacar al bebé (esté dormido o despierto) de la mochila de porteo o del carro, plegar el carro, subirlo a la cinta…","El control de seguridad a la entrada de la terminal T2 se convierte en una auténtica gincana si viajas sola con un bebé. Hay que sacar al bebé (dormido o despierto) del portabebés o del cochecito, plegar el cochecito, colocarlo en el cinturón...",0.8561892,0.7073170731707317
"Buenos paneles informativos, parking de pago exterior, señalización adecuada, pero se concentra mucha gente en los puntos de facturación y se echa de menos recogida de mesas en zonas de restauración, pocos asientos disponibles. En general bien.","Buenos paneles informativos, parking exterior de pago, señalización adecuada, pero hay mucha gente en los puntos de facturación y falta despeje de mesas en las zonas de restauración, pocas plazas libres. En general bien.",0.9588453,0.5945945945945946
"Excelente. Un aeropuerto de lujo. Realmente muy moderno, funcional y cómodo para trasladarse a las diferentes terminales","Excelente. Un aeropuerto de lujo. Realmente muy moderno, funcional y cómodo para llegar a las diferentes terminales",0.9888903,0.8888888888888888
"Aeropuerto muy grande la mayor parte muy moderno en especial las terminales más nuevas como la T4 y T4 Satélite pero bastante difícil para el turista, no hay información de nada, como ir de un sitio a otro, no hay señalización para llegar de los tantos parkings q hay hasta las muchas estaciones, así como tampoco hay nadie casi nunca q te explique donde coger un bus o cual coger o como tomar el metro o el tren o cual coger en su caso y donde está Y eso en el caso de uno, q vive aquí y habla el mismo idioma, no me quiero ni imaginar el suplicio q tendrán q pasar los turistas q vienen de todas partes del mundo y nunca hayan llegado a este aeropuerto al no poderse ni comunicar ni encontrar nadie q te explique nada, sobre todo si te toca llegar en horas de la noche q hay menos trabajadores todavía","Es un aeropuerto muy grande, la mayor parte muy moderno, sobre todo las terminales más nuevas como la T4 y la T4 Satélite, pero es bastante complicado para los turistas. No hay información de nada, de cómo llegar de un sitio a otro, no hay señalización para llegar desde los numerosos aparcamientos a las numerosas estaciones, y casi nunca hay nadie que te explique dónde coger un autobús o cuál coger o cómo coger el metro o el tren o cuál coger, en su caso, y dónde está. Y eso en el caso de alguien que viva aquí y hable el mismo idioma. No me puedo ni imaginar el tormento que deben pasar los turistas que vienen de todo el mundo y nunca han venido a este aeropuerto, no poder comunicarse ni encontrar a nadie que te explique nada, sobre todo si tienes que llegar de noche cuando hay aún menos trabajadores.",0.9047376,0.5641025641025641
