OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King.",“Tiene fácil acceso para personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y otra frente a Burgen King”.,0.97844285,0.76
"Espero que hayan mejorais","Espero que hayas mejorado",0.9166349,0.3333333333333333
"La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con discapacidad. Además comunica por un pasillo subterráneo (que parece infinito) con Embajadores que pertenece a la línea 3 de metro",“La estación es antigua e inaccesible para personas con discapacidad, además de tener una sola salida de metro, también está conectada con la estación de Embajadores, que es de la línea 3 del metro, a través de pasajes subterráneos (aparentemente interminables).,0.9329355,0.5
"Bien","Bien",1.0000002,1.0
"Bonito comodo","Bonito y cómodo",0.95533085,0.6666666666666666
"La terminal está bien ordenada y señalizada pero veo que falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande.",“La terminal está bien organizada y señalizada, pero veo que faltan asientos, no hay suficientes, las pantallas son un poco pequeñas, quizá añadiendo más paneles y letras más grandes se solucionaría el problema”.,0.8866655,0.525
"Bien indicado, limpio, cómodo y rápido para la cantidad de gente que hay en ese lugar",“Bien señalizado, limpio, cómodo y rápido para la cantidad de gente que hay”,0.9148907,0.7058823529411765
"Muchas colas, no hay WC público.","Largas colas y no hay baños públicos.",0.7626465,0.3
"Todo está muy bien adaptado para todas las personas",“Está todo muy bien adaptado para todas las personas”,0.9944483,1.0
"Espacios adecuados al flujo de pasajeros con buena iluminacion y señalizacion. Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a traves de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad",“Espacios adecuados para el flujo de pasajeros con buena iluminación y señalización. Deberían trabajar en colocar más estaciones para recarga de equipos electrónicos. Quizás a través de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad”.,0.9676803,0.8378378378378378
"Pues muy mal a ver si arreglan de una vez por todas los tejados y que abran la cafetería nos tienen  abandonados",-Pues está muy mal. A ver si arreglan de una vez los tejados y abren la cafetería. Nos tienen abandonados.,0.9057963,0.75
"Algo antiguo. Me ha costado encontrar los paneles de información. Y apenas servicios donde comprar o tomar algo.","Es un poco antiguo. Era difícil encontrar los paneles informativos. Y no había muchos servicios donde poder comprar o comer algo".,0.8602875,0.35714285714285715
"Muy limpio y amplió, bien señalizado",“Muy limpio, espacioso y bien señalizado”,0.9252275,0.7142857142857143
"Servicio rápido y eficiente, pero es una mala idea tener que pagar un suplemento de 3 € además del billete para llegar a las T1, 2, 3 y 4. Muy mala decisión codiciosa.",“Servicio rápido y eficiente, pero tener que pagar 3€ extra además del billete para acceder a la T1, 2, 3 y 4 es una mala idea. Muy mala decisión codiciosa.",0.957664,0.75
"Excelente idea tener el metro yendo al aeropuerto. Más excelente aún es la idea de tener, prácticamente en cualquier momento, personal disponible para ayudar a las personas que llegan y se encuentran con la máquina expendedora de billetes que ofrece cosas diferentes a las que informan en la web del metro de Madrid (que lamentablemente no está actualizada). .","Es una excelente idea que el metro llegue hasta el aeropuerto. Más excelente aún es la idea de tener, prácticamente a cualquier hora, personal disponible para ayudar a las personas que llegan y encontrar la máquina expendedora de billetes que ofrece cosas diferentes a lo que informa la web de Metro de Madrid (que desgraciadamente no está actualizada)".,0.9470278,0.6538461538461539
"Es muy conveniente que el metro (línea rosa) vaya al aeropuerto. Sí, en muchos aeropuertos del mundo hay trenes (Aeroexpress) desde la ciudad hasta el aeropuerto, pero llegar en metro sin cambiar de tren es mucho más cómodo. El viaje en metro desde el centro de la ciudad (desde la parada Sol) hasta el aeropuerto duró aproximadamente una hora.","Es muy cómodo que el metro (línea rosa) llegue al aeropuerto. Sí, en muchos aeropuertos del mundo hay trenes (Aeroexpress) de la ciudad al aeropuerto, pero llegar en metro sin cambiar de tren es mucho más cómodo. El trayecto en metro desde el centro de la ciudad (desde la parada Sol) hasta el aeropuerto dura aproximadamente una hora.",0.9503447,0.8409090909090909
"Limpio y ordenado. No es caótico a las 6:30 a.m. del domingo. Es necesario comprar un boleto especial de Metro ""Aeropuerto"" para entrar o salir de esta estación de Metro.","Limpio y ordenado. No es un caos a las 6:30 de la mañana de un domingo. Es necesario comprar un billete especial de metro "Aeropuerto" para entrar o salir de esta estación de metro".,0.9762364,0.7333333333333333
