OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"He vivido 35 años en el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Desgraciadamente el barrio que conocí prácticamente ha desaparecido. La gente joven se ha ido a otras zonas a vivir. Una pena",""Después de haber pasado 35 años en este vecindario, reconozco que la llegada del metro revitalizó y mejoró la zona. Lamentablemente, el barrio que solía conocer ha prácticamente desaparecido; la juventud ha optado por mudarse a otras áreas. Es una pena."",0.81558096,0.2894736842105263
"localización con muchos bares interesantes",""zona con una gran cantidad de bares atractivos"",0.6330955,0.14285714285714285
"…","Parece que no has proporcionado un texto para parafrasear. Por favor, incluye el contenido que deseas que reformule.",0.2806262,0.0
"Muy rica comida..",""Deliciosa gastronomía."",0.3094404,0.0
"Estación del.metro",""Terminal del tren subterráneo"",0.34231496,0.0
"jajaja",""jajaja"",0.9822055,1.0
"Muchos vuelos y destinos. Muchas tiendas. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior. Eso mejoraría la imagen de estas terminales!",""Numerosos vuelos y lugares a visitar. Varias tiendas. No obstante, las instalaciones requieren renovaciones y una nueva capa de pintura en el exterior. Esto mejoraría la percepción de estas terminales."",0.7358055,0.24
"Buena accesibilidad, limpieza en las instalaciones, señalización óptima.. Personal resolutivo, en el control de aduanas agilidad y buen servicio. Este aeropuerto esta a la altura de los mejores de Europa..",""Excelente accesibilidad, pulcritud en las instalaciones y señalización adecuada... Un personal eficaz que garantiza un servicio rápido y competente en los controles aduaneros. Este aeropuerto se equipara con los mejores de Europa."",0.8776052,0.2962962962962963
"Es bastante grande y con todos los servicios cubiertos. Las únicas cosas malas son: 1. Los baños: La gente suele ser poco limpia y es muy incómodo tener que hacer ejercicio antes de un viaje porque quieras mear y tienes que estar sujetando la puerta por un lado porque no tiene pestillo o está roto y haciendo sentadillas por otro lado porque no quieres tocar la taza ya que está sucia. 2. Los puestos de cambio de moneda: Si queréis cambiar la moneda es preferible que lo hagáis en un banco o en cualquier otro sitio y no aquí, dicen que no te cobran comisiones pero es mentira o por lo menos a mi me dieron de menos al cambio de moneda (les di 131,94€ para cambiar a coronas noruegas; ellas me dieron 1.000 coronas cuando me deberían de haber dado 1.532,83 coronas, es decir, se quedaron con 45,86€ a la hora de hacer el cambio). Y ellas me pidieron que les diese el 1,94€ para supuestamente darme las 1000 coronas justas. Quitando eso es un lugar en el que tienes de TODO y las personas del punto de información y las que me ayudaron para hacer el chek-in y facturar las maletas eran super amables y tuvieron algo de paciencia conmigo ya que era mi primer vuelo y tenía bastantes dudas.","El lugar es bastante amplio y cuenta con todos los servicios necesarios. Sin embargo, hay algunos aspectos negativos: 1. Los sanitarios: la limpieza suele ser deficiente y resulta bastante incómodo tener que ejercitarse antes de un viaje porque necesitas ir al baño, mientras intentas sostener la puerta por un lado debido a la falta de pestillo o porque este está roto, y a la vez haciendo sentadillas ya que no quieres tocar la taza debido a su estado de suciedad. 2. Los lugares para intercambiar divisas: si deseáis cambiar dinero, es recomendable que lo hagáis en una entidad bancaria o en otro sitio, ya que aquí afirman que no hay comisiones, pero eso es incorrecto; al menos en mi caso, me dieron menos en la conversión de moneda (di 131,94€ para obtener coronas noruegas y solo recibí 1.000 coronas cuando debí haber recibido 1.532,83 coronas, lo que significa que retuvieron 45,86€ en la transacción). Además, me solicitaron que entregara 1,94€ para supuestamente conseguirme las 1.000 coronas exactas. Aparte de eso, es un sitio donde se puede encontrar de todo y el personal de información y quienes me asistieron durante el check-in y la facturación de maletas fueron extremadamente amables, mostrando paciencia conmigo dado que era mi primer vuelo y tenía muchas inquietudes.",0.8145488,0.33540372670807456
"El parking express es súper caro pero da un buen servicio","El aparcamiento rápido resulta ser bastante costoso, sin embargo, ofrece un servicio de calidad.",0.5228598,0.058823529411764705
"Normalmente los accesos son rápidos...depende del dia y la hora, pero aún así...pasar  control de equipajes son 5 min. Una vez pasado el control, depende de la terminal, puedes tener un paseo largo hasta la puerta de embarque!","Generalmente, los accesos son ágiles... varían según el día y la hora, sin embargo... el control de equipaje toma unos 5 minutos. Una vez superado el control, dependiendo de la terminal, podrías tener un extenso recorrido hasta la puerta de embarque.",0.8090286,0.3055555555555556
"La T1 y T2 están bien, adecuados al flujo de pasajeros con buena iluminacion, limpieza, restauración y señalizacion. Heche en falta sitio para cargar los móviles. Por lo demás bien.","Tanto la T1 como la T2 son adecuadas, presentan un buen flujo de pasajeros con iluminación, limpieza, servicios de restauración y señalización apropiadas; sin embargo, echo de menos un lugar para cargar los teléfonos móviles. Aparte de eso, todo está bien.",0.8923408,0.3235294117647059
"Aeropuerto de Madrid. Adolfo Suarez... es a espectacular arquitectónicamente. Cómodo y fácil de ubicarte #LetsGuide #rosafrancomendoza","El aeropuerto de Madrid, Adolfo Suárez, es impresionante desde un punto de vista arquitectónico, resulta cómodo y es sencillo orientarse en él. #LetsGuide #rosafrancomendoza",0.9308028,0.42105263157894735
"La T1 está en obras incluido su estacionamiento (P1)  cuyo aspecto mejora mucho su aspecto. Esperemos al final de las obras; ¿Para cuándo?",""La T1 se encuentra en proceso de remodelación, incluyendo su aparcamiento (P1), lo cual mejora significativamente su apariencia. Estaremos a la espera de la finalización de las obras; ¿cuándo será esto?"",0.79400194,0.17391304347826086
