OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King.","El lugar es fácilmente accesible para individuos con dificultades de movilidad, cuenta con una salida hacia el colegio Julián Besteiro y otra frente al Burger King.",0.7912212,0.28
"Espero que hayan mejorais",""Confío en que hayan progresado."",0.5476042,0.2
"La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con discapacidad. Además comunica por un pasillo subterráneo (que parece infinito) con Embajadores que pertenece a la línea 3 de metro","La estación es vetusta y, además de tener únicamente una salida de metro, no está adaptada para usuarios con discapacidad. Asimismo, conecta a través de un pasillo subterráneo (que parece no tener fin) con Embajadores, que forma parte de la línea 3 del metro.",0.8442011,0.42424242424242425
"Bien",""Correcto"",0.3701794,0.0
"Bonito comodo",""Agradable y confortable."",0.20290592,0.0
"La terminal está bien ordenada y señalizada pero veo que falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande.","La terminal presenta una buena organización y adecuada señalización, sin embargo, observo que hay escasez de asientos, los existentes son insuficientes; además, las pantallas resultan algo reducidas, quizás se podría mejorar añadiendo más paneles y aumentando el tamaño de la letra.",0.7610965,0.21052631578947367
"Bien indicado, limpio, cómodo y rápido para la cantidad de gente que hay en ese lugar",""Claramente señalizado, ordenado, confortable y ágil, considerando la afluencia de personas en ese sitio."",0.6018787,0.0
"Muchas colas, no hay WC público.",""Existen numerosas filas y no hay baño público disponible."",0.5576079,0.3
"Todo está muy bien adaptado para todas las personas",""Todo ha sido diseñado de manera óptima para que todas las personas puedan beneficiarse."",0.695372,0.16666666666666666
"Espacios adecuados al flujo de pasajeros con buena iluminacion y señalizacion. Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a traves de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad",""Se requieren áreas apropiadas para el tránsito de viajeros que cuenten con buena iluminación y señalización; además, es necesario implementar un mayor número de estaciones para la recarga de dispositivos electrónicos, posiblemente mediante una colaboración con proveedores dispuestos a intercambiar su servicio por espacio publicitario."",0.80720735,0.21428571428571427
"Pues muy mal a ver si arreglan de una vez por todas los tejados y que abran la cafetería nos tienen  abandonados",""Es realmente inaceptable que no solucionen de una vez los techos y que la cafetería permanezca cerrada, nos dejan desatendidos."",0.6954161,0.09523809523809523
"Algo antiguo. Me ha costado encontrar los paneles de información. Y apenas servicios donde comprar o tomar algo.",""Es algo vetusto. Ha sido un desafío localizar los paneles de información y casi no hay sitios para adquirir o disfrutar algo."",0.77916956,0.14285714285714285
"Muy limpio y amplió, bien señalizado",""Extremadamente ordenado y espacioso, con buena señalización."",0.46290237,0.0
"Servicio rápido y eficiente, pero es una mala idea tener que pagar un suplemento de 3 € además del billete para llegar a las T1, 2, 3 y 4. Muy mala decisión codiciosa.","Un servicio ágil y eficaz, sin embargo, es una poor elección tener que abonar un suplemento de 3 € además del pasaje para acceder a las T1, 2, 3 y 4; una decisión avara muy desafortunada.",0.83632165,0.4
