OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King.","Tiene fácil entrada para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King.",0.98955125,0.875
"Espero que hayan mejorais","Espero que hayan mejorais",1.0,1.0
"La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con discapacidad. Además comunica por un pasillo subterráneo (que parece infinito) con Embajadores que pertenece a la línea 3 de metro","La estación es antigua, a un lado de parir una sola partida de tren subterráneo no está habilitada para pueblo con discapacidad. en cualquier caso comunica por un corredor subterráneo (que parece infinito) con Embajadores que pertenece a la línea de transmisión 3 de metro",0.8051272,0.5161290322580645
"Bien","Bien",1.0000002,1.0
"Bonito comodo","Bonito comodo",1.0000001,1.0
"La terminal está bien ordenada y señalizada pero veo que falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande.","La último está bien ordenada y señalizada pero veo que falta asientos, los que hay no canción suficientes, las pantallas canción algo pequeñas quizás se solucionaría poniendo más paneles y que la escritura sea más grande.",0.84829897,0.7391304347826086
"Bien indicado, limpio, cómodo y rápido para la cantidad de gente que hay en ese lugar","Bien indicado, limpio, útil y ágil para la cuantía de gente que hay en ese lugar",0.8917562,0.5
"Muchas colas, no hay WC público.","Muchas colas, no hay váter público.",0.9093523,0.6666666666666666
"Todo está muy bien adaptado para todas las personas","Todo está sustancialmente bien adaptado para todas las personas",0.92607975,0.6666666666666666
"Espacios adecuados al flujo de pasajeros con buena iluminacion y señalizacion. Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a traves de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad","Espacios adecuados al flujo de pasajeros con buena iluminacion y señalizacion. Deben ejercitar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a traves de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad",0.9781686,0.92
