OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"He vivido 35 años en el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Desgraciadamente el barrio que conocí prácticamente ha desaparecido. La gente joven se ha ido a otras zonas a vivir. Una pena","He vivido 35 largo tiempo en el barrio y reconozco que el tren subterráneo nos dio vida y mejoró el barrio. tristemente el barrio que conocí prácticamente ha desaparecido. La gente joven se ha ido a otras zonas a vivir. Una pena",0.920601,0.7037037037037037
"localización con muchos bares interesantes","localización con muchos bares interesantes",1.0000001,1.0
"…","…",1.0000002,0
"Muy rica comida..","Muy rica comida..",1.0,1.0
"Estación del.metro","Estación del.metro",1.0000001,1.0
"jajaja","jajaja",1.0,1.0
"Muchos vuelos y destinos. Muchas tiendas. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior. Eso mejoraría la imagen de estas terminales!","Muchos vuelos y destinos. Muchas tiendas. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior. Eso mejoraría la fotografía de estas terminales!",0.9583498,0.8571428571428571
"Buena accesibilidad, limpieza en las instalaciones, señalización óptima.. Personal resolutivo, en el control de aduanas agilidad y buen servicio. Este aeropuerto esta a la altura de los mejores de Europa..","Buena accesibilidad, limpieza en las instalaciones, signo óptima.. Personal resolutivo, en el control de aduanas agilidad y buen servicio. Este aeropuerto esta a la altura de los mejores de Europa..",0.9887264,0.8888888888888888
"Es bastante grande y con todos los servicios cubiertos. Las únicas cosas malas son: 1. Los baños: La gente suele ser poco limpia y es muy incómodo tener que hacer ejercicio antes de un viaje porque quieras mear y tienes que estar sujetando la puerta por un lado porque no tiene pestillo o está roto y haciendo sentadillas por otro lado porque no quieres tocar la taza ya que está sucia. 2. Los puestos de cambio de moneda: Si queréis cambiar la moneda es preferible que lo hagáis en un banco o en cualquier otro sitio y no aquí, dicen que no te cobran comisiones pero es mentira o por lo menos a mi me dieron de menos al cambio de moneda (les di 131,94€ para cambiar a coronas noruegas; ellas me dieron 1.000 coronas cuando me deberían de haber dado 1.532,83 coronas, es decir, se quedaron con 45,86€ a la hora de hacer el cambio). Y ellas me pidieron que les diese el 1,94€ para supuestamente darme las 1000 coronas justas. Quitando eso es un lugar en el que tienes de TODO y las personas del punto de información y las que me ayudaron para hacer el chek-in y facturar las maletas eran super amables y tuvieron algo de paciencia conmigo ya que era mi primer vuelo y tenía bastantes dudas.","Es bastante grande y con todos los comodidades cubiertos. Las únicas cosas malas son: 1. Los baños: La pueblo suele ser vivo ligeramente limpia y es considerablemente incómodo alumbrar que hacer entrenamiento antes de un locomoción porque quieras hacer pis y tienes que estar sujetando la seguro por un lado porque no tiene pestillo o está roto y haciendo sentadillas por otro borde porque no quieres dar la taza ya que está sucia. 2. Los puestos de giro de moneda: Si queréis mudar la moneda es preferible que lo hagáis en un banco o en cualquier otro posición y no aquí, dicen que no te cobran comisiones pero es mentira o por lo menos a mi me dieron de menos número atómico 13 vuelco de moneda (les di 131,94€ para mudar a coronas noruegas; ellas me dieron 1.000 coronas cuando me deberían de crédito dado 1.532,83 coronas, es decir, se quedaron con 45,86€ a la hora de hacer el cambio). Y ellas me pidieron que les diese el 1,94€ para supuestamente darme las 1000 coronas justas. Quitando eso es un lugar en el que tienes de TODO y las personas del tanto de información y las que me ayudaron para hacer el chek-in y facturar las maletas eran super amables y tuvieron algo de tolerancia conmigo ya que era mi primer vuelo y tenía bastantes dudas.",0.87838656,0.696
"El parking express es súper caro pero da un buen servicio","El parking express es súper costoso pero da un buen servicio",0.94290936,0.7777777777777778
