OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King.","Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro frente y el otro en entrada frente del Burgen King.",0.993096,0.9375
"Espero que hayan mejorais","Espero que hayan mejorais" hayan,0.9885496,1.0
"La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con discapacidad. Además comunica por un pasillo subterráneo (que parece infinito) con Embajadores que pertenece a la línea 3 de metro","La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con traer al mundo discapacidad. Además linea comunica por un pasillo subterráneo (que parece infinito) con Embajadores que pertenece a la línea 3 de metro" embajadores,0.98612815,0.88
"Bien","Bien" bien,0.95644224,1.0
"Bonito comodo",precioso "Bonito comodo",0.93283814,0.6666666666666666
"La terminal está bien ordenada y señalizada pero veo que falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande.","La terminal está bien ordenada y señalizada canción pero veo que canción falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles último y que la letra sea más grande.",0.9770572,0.9090909090909091
"Bien indicado, limpio, cómodo y rápido para la cantidad de gente que hay en ese lugar","Bien indicado, limpio, cómodo y rápido para la cantidad de gente que hay en ese lugar" personas,0.9652889,0.9
"Muchas colas, no hay WC público.","Muchas colas, no hay WC excusado público.",0.938372,0.8333333333333334
"Todo está muy bien adaptado para todas las personas",gente "Todo está muy bien adaptado para todas las personas",0.9819835,0.8333333333333334
"Espacios adecuados al flujo de pasajeros con buena iluminacion y señalizacion. Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a traves de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad","Espacios adecuados al flujo de pasajeros senalizacion con buena iluminacion y señalizacion. Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a traves de adecuados alguna alianza con proveedores equipos que puedan intercambiar el servicio por publicidad",0.9749768,1.0
"Pues muy mal a ver si arreglan de una vez por todas los tejados y que abran la cafetería nos tienen  abandonados","Pues muy mal a ver si arreglan de una vez vez por todas los tejados y que abran la cafetería nos imperfectamente tienen abandonados",0.98078334,0.9166666666666666
"Algo antiguo. Me ha costado encontrar los paneles de información. Y apenas servicios donde comprar o tomar algo.","Algo antiguo. Me ha costado encontrar los paneles de información. Y apenas servicios donde comprar o tomar algo." escasamente,0.99403065,0.9090909090909091
"Muy limpio y amplió, bien señalizado","Muy limpio y amplió, considerablemente bien señalizado",0.9556644,0.8333333333333334
"Servicio rápido y eficiente, pero es una mala idea tener que pagar un suplemento de 3 € además del billete para llegar a las T1, 2, 3 y 4. Muy mala decisión codiciosa.","Servicio rápido y eficiente, pero es una mala idea avalar tener que pagar un suplemento de venir 3 € además parir del billete para llegar a las T1, 2, 3 y 4. Muy mala decisión codiciosa.",0.97778237,0.8695652173913043
"Excelente idea tener el metro yendo al aeropuerto. Más excelente aún es la idea de tener, prácticamente en cualquier momento, personal disponible para ayudar a las personas que llegan y se encuentran con la máquina expendedora de billetes que ofrece cosas diferentes a las que informan en la web del metro de Madrid (que lamentablemente no está actualizada). .","Excelente idea tener el metro yendo al aeropuerto. Más excelente aún es la idea de tener, prácticamente en cualquier momento, personal disponible para ayudar a es dar a luz las personas que llegan y se encuentran con la máquina expendedora de billetes que ofrece cosas diferentes a las que informan expendedora en la idea original web del pueblo metro de Madrid (que lamentablemente no está actualizada). .",0.9718331,0.8857142857142857
"Es muy conveniente que el metro (línea rosa) vaya al aeropuerto. Sí, en muchos aeropuertos del mundo hay trenes (Aeroexpress) desde la ciudad hasta el aeropuerto, pero llegar en metro sin cambiar de tren es mucho más cómodo. El viaje en metro desde el centro de la ciudad (desde la parada Sol) hasta el aeropuerto duró aproximadamente una hora.","Es muy conveniente que el metro (línea rosa) vaya al aeropuerto. Sí, en muchos aeropuertos del igual mundo hay trenes (Aeroexpress) desde la ciudad hasta el aeropuerto, pero llegar en metro sin cambiar de tren es urbe mucho más cómodo. El viaje en metro desde el centro de la trenes ciudad (desde del la parada Sol) hasta el aeropuerto mudar duró aproximadamente una hora.",0.9796555,0.9032258064516129
"Limpio y ordenado. No es caótico a las 6:30 a.m. del domingo. Es necesario comprar un boleto especial de Metro ""Aeropuerto"" para entrar o salir de esta estación de Metro.","Limpio y ordenado. No es caótico a las 6:30 a.m. del domingo. Es necesario comprar un 630 boleto especial de Metro ""Aeropuerto"" para entrar o salir domingo de tren subterráneo esta estación de Metro.",0.98182786,0.9
"Bien organizado y perfectamente señalizado con las cifras de tráfico: al menos 54.000.000 de pasajeros al año. Desventajas: La T1-2-3 es muy sinuosa y, por lo tanto, los caminos y puertas realmente largos se muestran muy tarde, por lo que hay que darse prisa. Afortunadamente, los tiempos de viaje se muestran relativamente. MÁS: muchos baños limpios y muy espaciosos, conexión rápida de metro con el centro de la ciudad y controles de seguridad súper bien organizados y efectivos sin tiempos de espera... ¡eso sólo se puede soñar en los aeropuertos alemanes!",espera "Bien perfectamente puede organizado y perfectamente señalizado con las cifras de tráfico: al menos 54.000.000 de sustancialmente pasajeros al año. Desventajas: La T1-2-3 es muy sinuosa y, por lo tanto, los caminos y puertas realmente largos se muestran muy bien tarde, por lo que hay por suerte que darse prisa. Afortunadamente, los tiempos de viaje se muestran relativamente. MÁS: muchos baños limpios y muy controles espaciosos, conexión rápida de metro tren subterráneo con el centro de la ciudad y controles de seguridad súper por suerte bien organizados y efectivos sin tiempos de espera... ¡eso sólo se puede soñar en los aeropuertos alemanes!",0.9539666,0.9259259259259259
"Muy complejo. No muy bien señalizado.  nos perderíamos","Muy complejo. No considerablemente muy bien señalizado. nos perderíamos",0.95793164,0.8571428571428571
"Muy agradable, rápido, amigable para los niños, cooperativo con las familias.","Muy agradable, rápido, amigable para sustancialmente los niños, cooperativo con las familias.",0.9889721,0.875
"¡Excelente!",excepcional "¡Excelente!",0.93451655,0.5
"He venido a esperar a alguien. He llegado en metro, excelente. He pagado 3€ para poder salir. Y no he encontrado nada para desayunar por menos de 3€. Un vaso de fruta, pequeño y de plástico de un solo uso, son 4'95€, eso sí pelada.  El personal es amable. Tendré que estar aquí dos horas, pero los asientos son cómodos y he traído lectura.","He venido a esperar a alguien. He he llegado en metro, excelente. He pagado 3€ para poder salir. Y no he encontrado nada para desayunar por menos de 3€. Un venido vaso costumbre de fruta, pequeño y de plástico de un solo uso, son 4'95€, eso sí pelada. El personal es amable. Tendré que echar estar pequeno aquí dos horas, comodos pero los asientos son cómodos y he traído lectura.",0.98358494,0.9473684210526315
"El cercanías te deja en la puerta del aeropuerto y es más barato que el Metro","El cercanías te deja en la puerta del es aeropuerto y es más barato que el Metro",0.99830323,1.0
"Diseño espectacular,limpio,bien comunicado y muy buena atención en general.","Diseño espectacular,limpio,bien comunicado y muy buena atención completo en general.",0.98727185,0.875
"Muy bien","Muy considerablemente bien",0.8159064,0.6666666666666666
"Por lo menos en lo que respecta al metro está todo muy correcto","Por lo menos en lo que respecta al metro está todo muy tren subterráneo correcto",0.93491423,0.7777777777777778
"Fácil usar fácil llegar!","Fácil usar agotar fácil llegar!",0.91425365,0.75
"Al preguntar en información de renfe como puede ir a Madrid , no son precisos y apáticos. No Dan información suficiente  al final te tienes que buscar como llegar a Madrid centro","Al preguntar en información de renfe como no puede ir a Madrid , no son precisos y apáticos. No Dan información suficiente al final renfe te tienes que aluminio buscar como llegar a Madrid centro",0.96807015,0.9473684210526315
"Muy bien todo, suele estar muy concurrido a diario pero buena atención y buenos sitios donde tapear o comer","Muy bien todo, suele estar muy concurrido a diario pero buena atención y buenos sitios sustancialmente donde tapear o comer",0.98772275,0.9285714285714286
"Rápido y eficiente. Buena ayuda con la orientación del personal.","Rápido eficaz y eficiente. Buena ayuda con la orientación del personal.",0.9732579,0.875
"Olvídate del tren, es demasiado lento comparado con el metro. El coste es aproximadamente el mismo, pero hay menos trenes y hacen largas paradas de camino a Atocha.","Olvídate del tren, es demasiado lento comparado con el metro. El coste es es aproximadamente el mismo, pero hay menos trenes y hacen largas paradas tren subterráneo de camino a Atocha.",0.9859916,0.95
"Limpio y bien organizado.","Limpio y preciso bien organizado.",0.9401155,0.75
"Las maquinas de Renfe Cercanias no aceptan tarjetas extanjeras.Mucha auerte si eres turista sin metalico Euro entonces... No es posible utilizar las máquinas Renfe para adquirir el billete. Rechazan pago con lector contactless. Buena suerte si la oficina está cerrada y no tienes € en efectivo.","Las maquinas de Renfe Cercanias no aceptan y así que tarjetas no extanjeras.Mucha no auerte si eres turista sin metalico Euro entonces... No es posible utilizar las máquinas Renfe para adquirir el billete. Rechazan pago con lector contactless. Buena suerte si la renfe oficina está cerrada y no tienes € en efectivo.",0.9888951,0.9655172413793104
"Muy poca gente limpia bien","Muy considerablemente poca gente limpia bien",0.91713035,0.8333333333333334
"Terminal de metro muy bien situado en medio de una gran avenida con facilidades de acceso.",bulevar "Terminal de metro muy bien situado en medio de una gran avenida con facilidades de acceso.",0.9765675,0.9090909090909091
"Nuevo, amplio, accesible, limpio. No se qué más pedir a una parada de Metro","Nuevo, amplio, accesible, limpio. No se qué tren subterráneo más pedir a una parada de Metro",0.96618277,0.8
"Me parece un lugar bastante tranquilo","Me lugar parece un lugar bastante tranquilo",0.9862519,1.0
"Bien una estación más!!","Bien una bien estación más!!",0.9841133,1.0
"Una de las mejores estaciones de Metro",tren subterráneo "Una de las mejores estaciones de Metro",0.9408344,0.6
"Estación tranquila en un barrio tranquilo. Nada para comer limpio. Fíjate en el techo de la estación.","Estación tranquila estacion en un barrio tranquilo. Nada para comer limpio. Fíjate en el techo de la estación.",0.99541855,1.0
"Nueva estación de metro en buen estado.","Nueva estación de metro en buen estado." tren subterráneo,0.96983427,0.7142857142857143
"Si algún día renfe repara las escaleras mecánicas será un milagro....llevan como año y medio averiadas!!","Si algún día renfe repara sera las escaleras mecánicas será un milagro....llevan como año y medio averiadas!!",0.9946176,1.0
"Estación muy bien comunicada renfe,metro sur, aparcamientos, taxis, autobuses","Estación sur muy bien comunicada renfe,metro sur, aparcamientos, taxis, autobuses",0.9921802,1.0
"Moderna, cuidada","Moderna, moderna cuidada",0.9801929,1.0
