OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"He vivido 35 años en el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Desgraciadamente el barrio que conocí prácticamente ha desaparecido. La gente joven se ha ido a otras zonas a vivir. Una pena","He vivido dolor 35 años en joven el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Desgraciadamente el barrio que conocí prácticamente ha he desaparecido. La gente joven se ha ido a tren subterráneo otras zonas a vivir. Una pena",0.98064625,0.88
"localización con muchos bares interesantes","localización con bares muchos bares interesantes",0.97748387,1.0
"…","…",1.0000002,0
"Muy rica comida..","Muy rica comida.." sustancialmente,0.93590844,0.75
"Estación del.metro","Estación estacion del.metro",0.98057294,1.0
"jajaja","jajaja" jajaja,0.9584513,1.0
"Muchos vuelos y destinos. Muchas tiendas. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior. Eso mejoraría la imagen de estas terminales!","Muchos vuelos y destinos. Muchas tiendas. Pero terminales destinos las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior. Eso mejoraría la imagen de estas terminales!",0.9747671,1.0
"Buena accesibilidad, limpieza en las instalaciones, señalización óptima.. Personal resolutivo, en el control de aduanas agilidad y buen servicio. Este aeropuerto esta a la altura de los mejores de Europa..","Buena accesibilidad, limpieza en las instalaciones, señalización óptima.. Personal resolutivo, en optima el control de aduanas agilidad y buen servicio. Este aeropuerto esta a la altura de los agilidad mejores altura de Europa..",0.9861313,1.0
"Es bastante grande y con todos los servicios cubiertos. Las únicas cosas malas son: 1. Los baños: La gente suele ser poco limpia y es muy incómodo tener que hacer ejercicio antes de un viaje porque quieras mear y tienes que estar sujetando la puerta por un lado porque no tiene pestillo o está roto y haciendo sentadillas por otro lado porque no quieres tocar la taza ya que está sucia. 2. Los puestos de cambio de moneda: Si queréis cambiar la moneda es preferible que lo hagáis en un banco o en cualquier otro sitio y no aquí, dicen que no te cobran comisiones pero es mentira o por lo menos a mi me dieron de menos al cambio de moneda (les di 131,94€ para cambiar a coronas noruegas; ellas me dieron 1.000 coronas cuando me deberían de haber dado 1.532,83 coronas, es decir, se quedaron con 45,86€ a la hora de hacer el cambio). Y ellas me pidieron que les diese el 1,94€ para supuestamente darme las 1000 coronas justas. Quitando eso es un lugar en el que tienes de TODO y las personas del punto de información y las que me ayudaron para hacer el chek-in y facturar las maletas eran super amables y tuvieron algo de paciencia conmigo ya que era mi primer vuelo y tenía bastantes dudas.","Es bastante grande y con todos los servicios cubiertos. Las era dieron únicas cosas malas son: 1. Los baños: La gente suele ser poco limpia y es muy incómodo tener que hacer ejercicio número atómico 13 antes preferible de un viaje porque quieras mear y tienes que estar sujetando la puerta por un lado porque no tiene pestillo o está roto y taza haciendo sentadillas por otro lado porque no quieres tocar la taza ya que está sucia. 2. Los puestos de cambio de moneda: Si antes conmigo queréis cambiar la moneda es preferible que lo hagáis hacer pis en un cosas banco bastantes o en cualquier otro sitio y no aquí, dicen que no te cobran comisiones pero es puestos mentira o por lo menos a mi me dieron de menos al cambio de moneda (les di 131,94€ para cambiar a coronas noruegas; ellas me dieron 1.000 coronas cuando vuelco me deberían de haber dado 1.532,83 coronas, es decir, se quedaron con 45,86€ a la hora de hacer el cambio). Y ellas me 1000 pidieron que canción les diese 1000 supuestamente el 1,94€ para supuestamente darme las 1000 coronas justas. Quitando eso es un dinero lugar en el que tienes de TODO y quedaron las personas del mentira punto de información y las que roto me ayudaron para hacer el chek-in y facturar las aqui maletas eran super amables y tuvieron algo de paciencia conmigo cosas ya que era mi primer vuelo y tenía bastantes dudas.",0.96069634,0.9363636363636364
"El parking express es súper caro pero da un buen servicio","El parking express es súper caro pero da un buen extra servicio",0.9787273,0.8888888888888888
