OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King.","acceso fácil Tiene para las personas con movilidad reducida, una salida hacia el Besteiro Julián colegio y el otro en frente del Burgen King.",0.9936498,1.0
"Espero que hayan mejorais","Espero que mejorais hayan",0.9926401,1.0
"La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con discapacidad. Además comunica por un pasillo subterráneo (que parece infinito) con Embajadores que pertenece a la línea 3 de metro","La estación es antigua, aparte de tener una no salida de metro sola está personas para pertenece con discapacidad. Además comunica por un pasillo subterráneo (que parece infinito) con Embajadores que habilitada a la línea 3 de metro",0.9955184,1.0
"Bien","Bien",1.0000002,1.0
"Bonito comodo","comodo Bonito",0.98878074,1.0
"La terminal está bien ordenada y señalizada pero veo que falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande.","La terminal está bien ordenada y pantallas pero veo que falta asientos, los que hay no son grande. las más son algo pequeñas quizás se solucionaría poniendo señalizada paneles y que la letra sea más suficientes,",0.98814577,1.0
"Bien indicado, limpio, cómodo y rápido para la cantidad de gente que hay en ese lugar","Bien indicado, limpio, cantidad y rápido para la cómodo de gente que hay en ese lugar",0.9949652,1.0
"Muchas colas, no hay WC público.","Muchas colas, no WC hay público.",0.98946935,1.0
"Todo está muy bien adaptado para todas las personas","Todo está muy adaptado bien para todas las personas",0.99642855,1.0
"Espacios adecuados al flujo de pasajeros con buena iluminacion y señalizacion. Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a traves de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad","Espacios adecuados al flujo de pasajeros con trabajar iluminacion y señalizacion. Deben buena en Tal mas estaciones para recarga de equipos electrónicos. colocar vez a traves de alguna alianza con puedan que proveedores intercambiar el servicio por publicidad",0.9855422,1.0
"Pues muy mal a ver si arreglan de una vez por todas los tejados y que abran la cafetería nos tienen  abandonados","Pues mal muy a ver si arreglan de una vez por todas los abandonados y que abran la cafetería nos tienen tejados",0.99498147,1.0
"Algo antiguo. Me ha costado encontrar los paneles de información. Y apenas servicios donde comprar o tomar algo.","Algo antiguo. Me servicios costado encontrar los paneles de información. Y apenas ha donde comprar o tomar algo.",0.99638593,1.0
"Muy limpio y amplió, bien señalizado","limpio Muy y amplió, bien señalizado",0.9981039,1.0
"Servicio rápido y eficiente, pero es una mala idea tener que pagar un suplemento de 3 € además del billete para llegar a las T1, 2, 3 y 4. Muy mala decisión codiciosa.","Servicio rápido y eficiente, pero es una pagar idea decisión que mala un suplemento de además € 3 del billete para llegar a las T1, 2, 3 y 4. Muy mala tener codiciosa.",0.97741306,1.0
"Excelente idea tener el metro yendo al aeropuerto. Más excelente aún es la idea de tener, prácticamente en cualquier momento, personal disponible para ayudar a las personas que llegan y se encuentran con la máquina expendedora de billetes que ofrece cosas diferentes a las que informan en la web del metro de Madrid (que lamentablemente no está actualizada). .","Excelente idea tener el metro yendo al aeropuerto. Más excelente tener, es la idea de informan prácticamente en momento, cualquier personal disponible para ayudar a las personas que llegan y se encuentran con la Madrid expendedora de billetes que ofrece cosas diferentes a las que lamentablemente en la web del metro de máquina (que aún no está actualizada). .",0.97163403,1.0
"Es muy conveniente que el metro (línea rosa) vaya al aeropuerto. Sí, en muchos aeropuertos del mundo hay trenes (Aeroexpress) desde la ciudad hasta el aeropuerto, pero llegar en metro sin cambiar de tren es mucho más cómodo. El viaje en metro desde el centro de la ciudad (desde la parada Sol) hasta el aeropuerto duró aproximadamente una hora.","Sí, muy conveniente que el metro cambiar rosa) vaya al aeropuerto. Es en muchos aeropuertos del mundo hay trenes (Aeroexpress) desde la duró hasta el aeropuerto, pero llegar en metro sin (línea de (desde es mucho más aeropuerto El viaje en metro desde el centro de la ciudad tren la parada Sol) hasta el cómodo. ciudad aproximadamente una hora.",0.9744992,1.0
"Limpio y ordenado. No es caótico a las 6:30 a.m. del domingo. Es necesario comprar un boleto especial de Metro ""Aeropuerto"" para entrar o salir de esta estación de Metro.","Limpio y ordenado. 6:30 es caótico a las No a.m. del domingo. Es necesario comprar un salir especial de Metro boleto para entrar o ""Aeropuerto"" de esta estación de Metro.",0.9880012,1.0
"Bien organizado y perfectamente señalizado con las cifras de tráfico: al menos 54.000.000 de pasajeros al año. Desventajas: La T1-2-3 es muy sinuosa y, por lo tanto, los caminos y puertas realmente largos se muestran muy tarde, por lo que hay que darse prisa. Afortunadamente, los tiempos de viaje se muestran relativamente. MÁS: muchos baños limpios y muy espaciosos, conexión rápida de metro con el centro de la ciudad y controles de seguridad súper bien organizados y efectivos sin tiempos de espera... ¡eso sólo se puede soñar en los aeropuertos alemanes!","conexión organizado y perfectamente largos con las cifras de tráfico: al menos 54.000.000 de pasajeros al año. señalizado La T1-2-3 Bien puertas Desventajas: tarde, por lo tanto, los caminos y ¡eso realmente sinuosa se muestran muy y, por lo que hay que darse prisa. Afortunadamente, los tiempos de viaje se muestran relativamente. MÁS: muchos es limpios y muy espaciosos, baños rápida de metro con el centro de la ciudad y controles de seguridad súper bien organizados y efectivos sin tiempos de espera... muy sólo se puede soñar en los aeropuertos alemanes!",0.9840704,1.0
"Muy complejo. No muy bien señalizado.  nos perderíamos","Muy complejo. No muy señalizado. bien nos perderíamos",0.9943437,1.0
"Muy agradable, rápido, amigable para los niños, cooperativo con las familias.","Muy agradable, rápido, cooperativo para los niños, amigable con las familias.",0.9977301,1.0
"¡Excelente!","¡Excelente!",0.99999994,1.0
"He venido a esperar a alguien. He llegado en metro, excelente. He pagado 3€ para poder salir. Y no he encontrado nada para desayunar por menos de 3€. Un vaso de fruta, pequeño y de plástico de un solo uso, son 4'95€, eso sí pelada.  El personal es amable. Tendré que estar aquí dos horas, pero los asientos son cómodos y he traído lectura.","aquí venido a esperar a alguien. He llegado en poder excelente. He metro, 3€ para pagado salir. Y no uso, encontrado nada para desayunar por menos de 3€. Un vaso de fruta, pequeño y de plástico de un solo He son 4'95€, Tendré sí pelada. El personal es amable. eso que estar he dos horas, pero los asientos son cómodos y he traído lectura.",0.98870766,1.0
"El cercanías te deja en la puerta del aeropuerto y es más barato que el Metro","El cercanías te deja en la puerta aeropuerto del y es más barato que el Metro",0.9990906,1.0
"Diseño espectacular,limpio,bien comunicado y muy buena atención en general.","Diseño espectacular,limpio,bien comunicado y muy general. atención en buena",0.9783458,1.0
"Muy bien","bien Muy",0.9856068,1.0
"Por lo menos en lo que respecta al metro está todo muy correcto","Por lo menos en lo que respecta al metro está muy todo correcto",0.9990106,1.0
"Fácil usar fácil llegar!","fácil usar Fácil llegar!",1.0000002,1.0
"Al preguntar en información de renfe como puede ir a Madrid , no son precisos y apáticos. No Dan información suficiente  al final te tienes que buscar como llegar a Madrid centro","Madrid preguntar en información de renfe como puede final a Al apáticos. no son precisos y , No Dan información suficiente al ir te tienes que buscar como llegar a Madrid centro",0.98584044,1.0
"Muy bien todo, suele estar muy concurrido a diario pero buena atención y buenos sitios donde tapear o comer","Muy bien todo, suele concurrido muy estar a diario pero buena atención y buenos sitios donde tapear o comer",0.998858,1.0
"Rápido y eficiente. Buena ayuda con la orientación del personal.","Rápido y Buena eficiente. ayuda con la orientación del personal.",0.99264646,1.0
"Olvídate del tren, es demasiado lento comparado con el metro. El coste es aproximadamente el mismo, pero hay menos trenes y hacen largas paradas de camino a Atocha.","Olvídate del tren, trenes demasiado lento comparado con el metro. El coste es es el mismo, pero hay menos aproximadamente y hacen largas paradas de camino a Atocha.",0.9952265,1.0
"Limpio y bien organizado.","Limpio y organizado. bien",0.98747116,1.0
"Las maquinas de Renfe Cercanias no aceptan tarjetas extanjeras.Mucha auerte si eres turista sin metalico Euro entonces... No es posible utilizar las máquinas Renfe para adquirir el billete. Rechazan pago con lector contactless. Buena suerte si la oficina está cerrada y no tienes € en efectivo.","Las maquinas de Renfe Cercanias no aceptan tarjetas auerte contactless. si eres turista sin metalico Euro entonces... Rechazan es posible utilizar las máquinas Renfe para adquirir el billete. No pago con lector extanjeras.Mucha Buena suerte si la oficina tienes cerrada y no está € en efectivo.",0.9927547,1.0
"Muy poca gente limpia bien","Muy poca limpia gente bien",0.99784327,1.0
"Terminal de metro muy bien situado en medio de una gran avenida con facilidades de acceso.","Terminal de metro avenida bien situado en medio de una gran muy con facilidades de acceso.",0.99682736,1.0
"Nuevo, amplio, accesible, limpio. No se qué más pedir a una parada de Metro","Nuevo, amplio, accesible, parada No se qué más pedir a una limpio. de Metro",0.9877274,1.0
"Me parece un lugar bastante tranquilo","Me parece un bastante lugar tranquilo",0.9933665,1.0
"Bien una estación más!!","estación una Bien más!!",0.99208164,1.0
"Una de las mejores estaciones de Metro","Una de las Metro estaciones de mejores",0.9770701,1.0
"Estación tranquila en un barrio tranquilo. Nada para comer limpio. Fíjate en el techo de la estación.","Estación tranquila en un barrio tranquilo. Nada para comer techo Fíjate en el limpio. de la estación.",0.99510235,1.0
"Nueva estación de metro en buen estado.","Nueva estación de metro en estado. buen",0.99176365,1.0
"Si algún día renfe repara las escaleras mecánicas será un milagro....llevan como año y medio averiadas!!","Si algún día renfe repara las escaleras mecánicas será un medio como año y milagro....llevan averiadas!!",0.9858432,1.0
"Estación muy bien comunicada renfe,metro sur, aparcamientos, taxis, autobuses","Estación muy renfe,metro comunicada bien sur, aparcamientos, taxis, autobuses",0.99505454,1.0
"Moderna, cuidada","cuidada Moderna,",0.98185897,1.0
"Es muy bueno","Es bueno muy",0.99524677,1.0
"Buenas instalaciones.","instalaciones. Buenas",0.96717495,1.0
"- No hay acceso desde la calle habilitado, para coches de bebés, sillas de ruedas y personas con movilidad reducida. - Cuando se han hecho obras hace poco tiempo, no han puesto ascensor. En esta…","coches No hay acceso desde la calle habilitado, para - de bebés, sillas de personas y puesto con movilidad reducida. - Cuando se han hecho obras hace poco tiempo, no han ruedas ascensor. En esta…",0.9855787,1.0
"Tiene cajero de Bankia. Servicio permanente en taquilla. No tiene ascensor para minusválidos ni padres con carritos de .…","Tiene cajero de Bankia. Servicio permanente en taquilla. No carritos ascensor para minusválidos ni padres con tiene de .…",0.99589205,1.0
"Buen emplazamiento de la estación. Limpio.","Buen estación. de la emplazamiento Limpio.",0.98829883,1.0
"El barrio no es tan malo y la estación de metro acaba de ser renovada.","El barrio no es tan malo y la estación de metro ser de acaba renovada.",0.99706894,1.0
"Estacion de metro que pertenece a la linea 3. Dispone de ascensores pero no de cobertura movil. Ademas la estacion tiene goteras. No suele estar muy transitada de gente.","Estacion de metro que pertenece a la linea no Dispone de ascensores pero 3. de cobertura tiene Ademas la estacion movil. goteras. No suele estar muy transitada de gente.",0.9916955,1.0
"Situada cerca de la Administración de Hacienda de Usera-Villaverde. Ascensor. Amplios andenes.","Situada cerca de la Administración de andenes. de Usera-Villaverde. Ascensor. Amplios Hacienda",0.9678583,1.0
"La estación de metro de Almendrales fue inagurada el 21 de abril de 2007. Presta servicio la Linea 3 (Amarilla). Se encuentra ubicada en la intersección de la Avenida de Córdoba con Calle Piedrabuena. Se encuentra cerca de la Delegación de Administración de Hacienda de Usera.","La estación de metro de Almendrales fue inagurada el ubicada de encuentra de 2007. Presta servicio la Linea abril (Amarilla). Se Administración 21 en la intersección de la Avenida de Córdoba con Calle Piedrabuena. Se encuentra cerca de la Delegación de 3 de Hacienda de Usera.",0.9753837,1.0
"Estación de la línea 3 que funciona muy bien y estás en el centro de Madrid en diez minutos","Estación de la línea 3 que funciona muy bien y estás en el centro de diez en Madrid minutos",0.99551976,1.0
"Estación nueva todo OK","Estación nueva OK todo",0.99528885,1.0
"Almendrales es una estación del servicio de metro de Madrid línea 3 en el barrio Usera en Madrid España","Almendrales es una Madrid del servicio de metro de estación línea 3 en el barrio Usera en Madrid España",0.99420875,1.0
"Es ideal !!!","Es !!! ideal",0.96221185,1.0
"Es un lugar bueno y hermoso …","Es un lugar bueno y … hermoso",0.9916098,1.0
"Estación accesible y cercana a muchos puntos de interés del barrio de Chamberí. Situada entre dos estaciones importantes de la línea, Gregorio Marañón y Canal","Estación interés y cercana a muchos puntos de accesible línea, barrio de Chamberí. Situada entre dos estaciones importantes de la del Gregorio Marañón y Canal",0.98642504,1.0
