OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"He vivido 35 años en el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Desgraciadamente el barrio que conocí prácticamente ha desaparecido. La gente joven se ha ido a otras zonas a vivir. Una pena","He gente 35 años en el ha y reconozco que el metro nos vida zonas y mejoró el barrio. Desgraciadamente el barrio que conocí prácticamente barrio desaparecido. La vivido joven se ha ido a otras dio a vivir. Una pena",0.9862863,1.0
"localización con muchos bares interesantes","interesantes con muchos bares localización",0.9916072,1.0
"…","…",1.0000002,0
"Muy rica comida..","rica Muy comida..",0.9894552,1.0
"Estación del.metro","del.metro Estación",0.98827946,1.0
"jajaja","jajaja",1.0,1.0
"Muchos vuelos y destinos. Muchas tiendas. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior. Eso mejoraría la imagen de estas terminales!","Muchos vuelos y destinos. Muchas exterior. Pero las instalaciones/ tiendas. necesitan reformas y pinturas para el infraestructuras Eso mejoraría la imagen de estas terminales!",0.9900764,1.0
"Buena accesibilidad, limpieza en las instalaciones, señalización óptima.. Personal resolutivo, en el control de aduanas agilidad y buen servicio. Este aeropuerto esta a la altura de los mejores de Europa..","altura accesibilidad, resolutivo, en las instalaciones, señalización óptima.. Personal limpieza en el control de aduanas agilidad y buen Europa.. Este aeropuerto esta a la Buena de los mejores de servicio.",0.97526217,1.0
"Es bastante grande y con todos los servicios cubiertos. Las únicas cosas malas son: 1. Los baños: La gente suele ser poco limpia y es muy incómodo tener que hacer ejercicio antes de un viaje porque quieras mear y tienes que estar sujetando la puerta por un lado porque no tiene pestillo o está roto y haciendo sentadillas por otro lado porque no quieres tocar la taza ya que está sucia. 2. Los puestos de cambio de moneda: Si queréis cambiar la moneda es preferible que lo hagáis en un banco o en cualquier otro sitio y no aquí, dicen que no te cobran comisiones pero es mentira o por lo menos a mi me dieron de menos al cambio de moneda (les di 131,94€ para cambiar a coronas noruegas; ellas me dieron 1.000 coronas cuando me deberían de haber dado 1.532,83 coronas, es decir, se quedaron con 45,86€ a la hora de hacer el cambio). Y ellas me pidieron que les diese el 1,94€ para supuestamente darme las 1000 coronas justas. Quitando eso es un lugar en el que tienes de TODO y las personas del punto de información y las que me ayudaron para hacer el chek-in y facturar las maletas eran super amables y tuvieron algo de paciencia conmigo ya que era mi primer vuelo y tenía bastantes dudas.","Es bastante grande y con todos los servicios cubiertos. Las únicas cambiar malas son: no Los baños: La gente suele ser poco está y haber muy incómodo tener que hacer cosas mentira de un viaje porque quieras mear y tienes que estar sujetando la puerta por un es porque 1. menos maletas o limpia del y haciendo sentadillas por cualquier lado porque no quieres 1.000 la comisiones ya que está dieron 2. Los puestos de cambio de moneda: Si cambio). aquí, la moneda 1.532,83 preferible que lo hagáis en un banco o en otro otro era y no tiene sucia. que no te cobran taza pero lado antes o por lo ejercicio a mi me Quitando de menos al cambio de moneda (les di 131,94€ para cambiar a coronas noruegas; ellas me dieron tocar coronas cuando me deberían de es dado es coronas, es decir, se quedaron con 45,86€ a la hora de hacer el queréis Y ellas me pidieron que les diese el 1,94€ para supuestamente darme las 1000 coronas justas. dicen eso es un vuelo en el que tienes de TODO y las personas roto punto de información y las que me ayudaron para hacer el chek-in y facturar las pestillo eran super amables y tuvieron algo de paciencia conmigo ya que sitio mi primer lugar y tenía bastantes dudas.",0.9540444,1.0
"El parking express es súper caro pero da un buen servicio","El parking express es súper caro pero da un servicio buen",0.9978967,1.0
