OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King.","Tiene fácil acceso para las personas con movilidad una salida hacia el colegio Julián Besteiro y el en frente del Burgen King.",0.97698003,0.8666666666666667
"Espero que hayan mejorais","que hayan mejorais",0.9155911,0.6666666666666666
"La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con discapacidad. Además comunica por un pasillo subterráneo (que parece infinito) con Embajadores que pertenece a la línea 3 de metro","La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con discapacidad. Además comunica por un pasillo subterráneo (que infinito) con que pertenece a la línea de metro",0.9895885,0.8636363636363636
"Bien","Bien",1.0000002,1.0
"Bonito comodo","comodo",0.8002895,0.5
"La terminal está bien ordenada y señalizada pero veo que falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande.","La terminal está bien ordenada y señalizada pero veo que asientos, los que no son suficientes, las son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande.",0.95519024,0.85
"Bien indicado, limpio, cómodo y rápido para la cantidad de gente que hay en ese lugar","Bien indicado, limpio, cómodo y rápido para la de gente que hay en ese lugar",0.9766382,0.8888888888888888
"Muchas colas, no hay WC público.","Muchas colas, hay WC público.",0.9701594,0.8
"Todo está muy bien adaptado para todas las personas","Todo está bien adaptado para todas las personas",0.97095895,0.8
"Espacios adecuados al flujo de pasajeros con buena iluminacion y señalizacion. Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a traves de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad","Espacios adecuados al flujo de pasajeros con iluminacion y Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad",0.9792116,0.875
"Pues muy mal a ver si arreglan de una vez por todas los tejados y que abran la cafetería nos tienen  abandonados","Pues muy mal a si arreglan de una vez por todas los y que abran la cafetería nos tienen abandonados",0.9790722,0.8181818181818182
"Algo antiguo. Me ha costado encontrar los paneles de información. Y apenas servicios donde comprar o tomar algo.","Algo antiguo. Me ha costado encontrar los paneles de información. Y apenas donde comprar o tomar algo.",0.9806393,0.9
"Muy limpio y amplió, bien señalizado","Muy limpio y bien señalizado",0.9671331,0.8
"Servicio rápido y eficiente, pero es una mala idea tener que pagar un suplemento de 3 € además del billete para llegar a las T1, 2, 3 y 4. Muy mala decisión codiciosa.","Servicio rápido y eficiente, pero es una mala idea que un suplemento de 3 € además del billete para a las T1, 2, 3 y 4. Muy mala decisión codiciosa.",0.9906855,0.85
"Excelente idea tener el metro yendo al aeropuerto. Más excelente aún es la idea de tener, prácticamente en cualquier momento, personal disponible para ayudar a las personas que llegan y se encuentran con la máquina expendedora de billetes que ofrece cosas diferentes a las que informan en la web del metro de Madrid (que lamentablemente no está actualizada). .","Excelente idea el metro al aeropuerto. Más excelente aún es la idea de tener, prácticamente en cualquier momento, personal disponible para ayudar a las personas que y se encuentran con la máquina expendedora de billetes que ofrece cosas diferentes a las que en la del metro de Madrid (que lamentablemente no está actualizada). .",0.9580374,0.8709677419354839
"Es muy conveniente que el metro (línea rosa) vaya al aeropuerto. Sí, en muchos aeropuertos del mundo hay trenes (Aeroexpress) desde la ciudad hasta el aeropuerto, pero llegar en metro sin cambiar de tren es mucho más cómodo. El viaje en metro desde el centro de la ciudad (desde la parada Sol) hasta el aeropuerto duró aproximadamente una hora.","Es muy conveniente que el metro (línea rosa) vaya al aeropuerto. Sí, en muchos aeropuertos mundo hay trenes (Aeroexpress) desde la hasta el aeropuerto, pero llegar en metro sin de tren es mucho más El viaje en metro desde el centro de la ciudad (desde la parada hasta el aeropuerto duró aproximadamente una hora.",0.98835015,0.8571428571428571
"Limpio y ordenado. No es caótico a las 6:30 a.m. del domingo. Es necesario comprar un boleto especial de Metro ""Aeropuerto"" para entrar o salir de esta estación de Metro.","Limpio y No es caótico a las a.m. del domingo. Es necesario un boleto especial de Metro ""Aeropuerto"" para entrar o salir de esta estación de Metro.",0.94335836,0.8333333333333334
"Bien organizado y perfectamente señalizado con las cifras de tráfico: al menos 54.000.000 de pasajeros al año. Desventajas: La T1-2-3 es muy sinuosa y, por lo tanto, los caminos y puertas realmente largos se muestran muy tarde, por lo que hay que darse prisa. Afortunadamente, los tiempos de viaje se muestran relativamente. MÁS: muchos baños limpios y muy espaciosos, conexión rápida de metro con el centro de la ciudad y controles de seguridad súper bien organizados y efectivos sin tiempos de espera... ¡eso sólo se puede soñar en los aeropuertos alemanes!","Bien organizado y señalizado con las cifras de tráfico: al menos de pasajeros al año. Desventajas: La T1-2-3 es muy sinuosa y, por lo los caminos y puertas realmente largos se muestran muy tarde, por lo que hay que darse prisa. los tiempos de se muestran relativamente. MÁS: muchos limpios y muy conexión rápida de con el centro de la ciudad y controles de seguridad súper bien organizados y efectivos sin tiempos de espera... ¡eso sólo se soñar en los aeropuertos alemanes!",0.94611454,0.82
"Muy complejo. No muy bien señalizado.  nos perderíamos","Muy complejo. No muy señalizado. nos perderíamos",0.9678892,0.8333333333333334
"Muy agradable, rápido, amigable para los niños, cooperativo con las familias.","Muy rápido, amigable para los niños, cooperativo con las familias.",0.97362554,0.8571428571428571
"¡Excelente!","¡Excelente!",0.99999994,1.0
