OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"He vivido 35 años en el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Desgraciadamente el barrio que conocí prácticamente ha desaparecido. La gente joven se ha ido a otras zonas a vivir. Una pena","He 35 años en el barrio y que el metro nos dio vida y mejoró el barrio. el barrio que conocí prácticamente ha desaparecido. La gente joven se ha ido a otras zonas a vivir. Una",0.9552208,0.8181818181818182
"localización con muchos bares interesantes","localización con muchos interesantes",0.8466513,0.6666666666666666
"…","…",1.0000002,0
"Muy rica comida..","Muy comida..",0.73994446,0.6666666666666666
"Estación del.metro","del.metro",0.768227,0.5
"jajaja","jajaja",1.0,1.0
"Muchos vuelos y destinos. Muchas tiendas. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior. Eso mejoraría la imagen de estas terminales!","Muchos vuelos y destinos. Muchas tiendas. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el Eso mejoraría la de estas terminales!",0.9625496,0.8461538461538461
"Buena accesibilidad, limpieza en las instalaciones, señalización óptima.. Personal resolutivo, en el control de aduanas agilidad y buen servicio. Este aeropuerto esta a la altura de los mejores de Europa..","Buena accesibilidad, limpieza en las señalización óptima.. Personal en el control de aduanas agilidad y buen servicio. Este aeropuerto esta a la altura de los mejores de",0.9398936,0.8235294117647058
"Es bastante grande y con todos los servicios cubiertos. Las únicas cosas malas son: 1. Los baños: La gente suele ser poco limpia y es muy incómodo tener que hacer ejercicio antes de un viaje porque quieras mear y tienes que estar sujetando la puerta por un lado porque no tiene pestillo o está roto y haciendo sentadillas por otro lado porque no quieres tocar la taza ya que está sucia. 2. Los puestos de cambio de moneda: Si queréis cambiar la moneda es preferible que lo hagáis en un banco o en cualquier otro sitio y no aquí, dicen que no te cobran comisiones pero es mentira o por lo menos a mi me dieron de menos al cambio de moneda (les di 131,94€ para cambiar a coronas noruegas; ellas me dieron 1.000 coronas cuando me deberían de haber dado 1.532,83 coronas, es decir, se quedaron con 45,86€ a la hora de hacer el cambio). Y ellas me pidieron que les diese el 1,94€ para supuestamente darme las 1000 coronas justas. Quitando eso es un lugar en el que tienes de TODO y las personas del punto de información y las que me ayudaron para hacer el chek-in y facturar las maletas eran super amables y tuvieron algo de paciencia conmigo ya que era mi primer vuelo y tenía bastantes dudas.","bastante grande y con todos los servicios cubiertos. Las únicas malas son: 1. Los baños: La suele ser poco limpia y es incómodo tener que hacer antes de un viaje porque y tienes que estar sujetando la puerta por un lado porque no tiene pestillo o roto y haciendo sentadillas por otro lado porque no quieres la taza ya que está sucia. 2. Los puestos de de moneda: Si queréis cambiar la es preferible que lo en un banco o en otro sitio y no aquí, dicen que no te cobran comisiones pero es mentira o por lo menos a mi me de menos al cambio de moneda (les di 131,94€ para cambiar a coronas ellas me dieron 1.000 coronas cuando me deberían de haber coronas, es decir, se quedaron con 45,86€ a la de hacer el Y ellas me pidieron que les diese el 1,94€ para supuestamente las 1000 coronas justas. Quitando eso es un lugar en el que tienes de TODO y las personas del de información y las que me ayudaron para hacer el chek-in y facturar las maletas eran super y tuvieron algo de paciencia conmigo ya que era mi primer vuelo y tenía bastantes dudas.",0.9566871,0.8446601941747572
"El parking express es súper caro pero da un buen servicio","El parking express es caro pero da un buen servicio",0.96203315,0.875
"Normalmente los accesos son rápidos...depende del dia y la hora, pero aún así...pasar  control de equipajes son 5 min. Una vez pasado el control, depende de la terminal, puedes tener un paseo largo hasta la puerta de embarque!","Normalmente los accesos son rápidos...depende del dia y la hora, pero así...pasar control de equipajes son 5 Una vez pasado el control, depende de la terminal, puedes tener un paseo largo hasta la de embarque!",0.9762341,0.8695652173913043
"La T1 y T2 están bien, adecuados al flujo de pasajeros con buena iluminacion, limpieza, restauración y señalizacion. Heche en falta sitio para cargar los móviles. Por lo demás bien.","La y T2 están bien, flujo de pasajeros con buena iluminacion, limpieza, restauración y señalizacion. Heche en falta sitio para cargar los móviles. Por lo demás bien.",0.94560015,0.8421052631578947
"Aeropuerto de Madrid. Adolfo Suarez... es a espectacular arquitectónicamente. Cómodo y fácil de ubicarte #LetsGuide #rosafrancomendoza","Aeropuerto de Madrid. Adolfo Suarez... es a espectacular arquitectónicamente. Cómodo y fácil de #LetsGuide #rosafrancomendoza",0.99527586,0.9166666666666666
"La T1 está en obras incluido su estacionamiento (P1)  cuyo aspecto mejora mucho su aspecto. Esperemos al final de las obras; ¿Para cuándo?","La T1 está en obras su estacionamiento (P1) cuyo aspecto mejora mucho su aspecto. Esperemos al de las obras; ¿Para cuándo?",0.984966,0.8181818181818182
"en 2021 todavía hay agentes de seguridad en la T2 Madrid que confiscan droga(médicamente)  (ungüentos) y otros por razones de seguridad? !!  y vaciar la basura por la noche","en todavía hay agentes de seguridad en la T2 Madrid que confiscan droga(médicamente) (ungüentos) y otros por razones de seguridad? !! y vaciar la por la noche",0.95832914,0.8666666666666667
"Experiencia funesta si vienes de la T 1 y tienes vuelo en la T 4 tienes que salir fuera.Nadie te informa y debes pasar seguridad de nuevo. Le pongo una estrella porque no hay 0","Experiencia funesta si vienes de la T 1 y tienes vuelo en la T 4 tienes que salir fuera.Nadie te informa y debes de Le pongo una estrella porque no hay 0",0.9741187,0.85
"Es un aeropuerto demasiado grande , que puedes tardar más de 30 minutos caminado hasta tu puerta de embarque ( hay señalización de los minutos que te hacen falta jajaja), es lo que más me llamo la atención porque terminas agotado antes de viajar… Pero bueno lo demás muy bien!!!","Es un aeropuerto demasiado grande , que tardar más de 30 minutos caminado hasta tu puerta de embarque ( hay de los minutos que te hacen jajaja), es lo que más me la atención porque agotado antes de viajar… Pero bueno lo demás muy bien!!!",0.98753464,0.8076923076923077
"Buen sitio para hacer espera en tus escalas con múltiples tiendas para comprar lo que gustes y hacer de tu estadía en el sitio más agradable, tomando en cuenta el flujo de personas que tiene todo están bike distribuido para que sea cómoda y bueno el momento.","Buen sitio para hacer en tus escalas con múltiples tiendas para comprar lo que y hacer de tu en el sitio más agradable, tomando en cuenta el flujo de personas que todo están bike distribuido para que sea cómoda y bueno el momento.",0.9819669,0.8333333333333334
