OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King.","Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King.",1.0,1.0
"Espero que hayan mejorais","Espero que hayan mejorais.",0.9781798,1.0
"La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con discapacidad. Además comunica por un pasillo subterráneo (que parece infinito) con Embajadores que pertenece a la línea 3 de metro","La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con discapacidad. Además comunica por un pasillo subterráneo (que parece infinito) con Embajadores que pertenece a la línea 3 de metro.",0.9983834,1.0
"Bien","Bien.",0.9092742,1.0
"Bonito comodo","Bonito comodo.",0.95615566,1.0
"La terminal está bien ordenada y señalizada pero veo que falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande.","La terminal está bien ordenada y señalizada pero veo que falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande.",1.0000001,1.0
"Bien indicado, limpio, cómodo y rápido para la cantidad de gente que hay en ese lugar","Bien indicado, limpio, cómodo y rápido para la cantidad de gente que hay en ese lugar.",0.99061227,1.0
"Muchas colas, no hay WC público.","Muchas colas, no hay WC público.",1.0000001,1.0
"Todo está muy bien adaptado para todas las personas","Todo está muy bien adaptado para todas las personas.",0.9901308,1.0
"Espacios adecuados al flujo de pasajeros con buena iluminacion y señalizacion. Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a traves de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad","Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Espacios adecuados al flujo de pasajeros con buena iluminacion y señalizacion. Tal vez a traves de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad.",0.9712248,1.0
"Pues muy mal a ver si arreglan de una vez por todas los tejados y que abran la cafetería nos tienen  abandonados","Pues muy mal a ver si arreglan de una vez por todas los tejados y que abran la cafetería nos tienen  abandonados.",0.9901533,1.0
"Algo antiguo. Me ha costado encontrar los paneles de información. Y apenas servicios donde comprar o tomar algo.","Algo antiguo. Y apenas servicios donde comprar o tomar algo. Me ha costado encontrar los paneles de información.",0.9924278,1.0
"Muy limpio y amplió, bien señalizado","Muy limpio y amplió, bien señalizado.",0.9842502,1.0
"Servicio rápido y eficiente, pero es una mala idea tener que pagar un suplemento de 3 € además del billete para llegar a las T1, 2, 3 y 4. Muy mala decisión codiciosa.","Servicio rápido y eficiente, pero es una mala idea tener que pagar un suplemento de 3 € además del billete para llegar a las T1, 2, 3 y 4. Muy mala decisión codiciosa.",1.0000001,1.0
"Excelente idea tener el metro yendo al aeropuerto. Más excelente aún es la idea de tener, prácticamente en cualquier momento, personal disponible para ayudar a las personas que llegan y se encuentran con la máquina expendedora de billetes que ofrece cosas diferentes a las que informan en la web del metro de Madrid (que lamentablemente no está actualizada). .","Excelente idea tener el metro yendo al aeropuerto. Más excelente aún es la idea de tener, prácticamente en cualquier momento, personal disponible para ayudar a las personas que llegan y se encuentran con la máquina expendedora de billetes que ofrece cosas diferentes a las que informan en la web del metro de Madrid (que lamentablemente no está actualizada).",0.9995829,1.0
"Es muy conveniente que el metro (línea rosa) vaya al aeropuerto. Sí, en muchos aeropuertos del mundo hay trenes (Aeroexpress) desde la ciudad hasta el aeropuerto, pero llegar en metro sin cambiar de tren es mucho más cómodo. El viaje en metro desde el centro de la ciudad (desde la parada Sol) hasta el aeropuerto duró aproximadamente una hora.","Es muy conveniente que el metro (línea rosa) vaya al aeropuerto. Sí, en muchos aeropuertos del mundo hay trenes (Aeroexpress) desde la ciudad hasta el aeropuerto, pero llegar en metro sin cambiar de tren es mucho más cómodo. El viaje en metro desde el centro de la ciudad (desde la parada Sol) hasta el aeropuerto duró aproximadamente una hora.",1.0000002,1.0
"Limpio y ordenado. No es caótico a las 6:30 a.m. del domingo. Es necesario comprar un boleto especial de Metro ""Aeropuerto"" para entrar o salir de esta estación de Metro.","m. No es caótico a las 6:30 a. Limpio y ordenado. del domingo. Es necesario comprar un boleto especial de Metro ""Aeropuerto"" para entrar o salir de esta estación de Metro.",0.9753117,0.8947368421052632
"Bien organizado y perfectamente señalizado con las cifras de tráfico: al menos 54.000.000 de pasajeros al año. Desventajas: La T1-2-3 es muy sinuosa y, por lo tanto, los caminos y puertas realmente largos se muestran muy tarde, por lo que hay que darse prisa. Afortunadamente, los tiempos de viaje se muestran relativamente. MÁS: muchos baños limpios y muy espaciosos, conexión rápida de metro con el centro de la ciudad y controles de seguridad súper bien organizados y efectivos sin tiempos de espera... ¡eso sólo se puede soñar en los aeropuertos alemanes!","Afortunadamente, los tiempos de viaje se muestran relativamente. 000 de pasajeros al año. ¡eso sólo se puede soñar en los aeropuertos alemanes!. Desventajas: La T1-2-3 es muy sinuosa y, por lo tanto, los caminos y puertas realmente largos se muestran muy tarde, por lo que hay que darse prisa. Bien organizado y perfectamente señalizado con las cifras de tráfico: al menos 54. 000. MÁS: muchos baños limpios y muy espaciosos, conexión rápida de metro con el centro de la ciudad y controles de seguridad súper bien organizados y efectivos sin tiempos de espera.",0.9723836,0.9423076923076923
"Muy complejo. No muy bien señalizado.  nos perderíamos","Muy complejo. nos perderíamos. No muy bien señalizado.",0.9844184,1.0
"Muy agradable, rápido, amigable para los niños, cooperativo con las familias.","Muy agradable, rápido, amigable para los niños, cooperativo con las familias.",1.0,1.0
"¡Excelente!","¡Excelente!.",0.99471706,1.0
"He venido a esperar a alguien. He llegado en metro, excelente. He pagado 3€ para poder salir. Y no he encontrado nada para desayunar por menos de 3€. Un vaso de fruta, pequeño y de plástico de un solo uso, son 4'95€, eso sí pelada.  El personal es amable. Tendré que estar aquí dos horas, pero los asientos son cómodos y he traído lectura.","He llegado en metro, excelente. Tendré que estar aquí dos horas, pero los asientos son cómodos y he traído lectura. El personal es amable. He venido a esperar a alguien. Un vaso de fruta, pequeño y de plástico de un solo uso, son 4'95€, eso sí pelada. Y no he encontrado nada para desayunar por menos de 3€. He pagado 3€ para poder salir.",0.9704783,1.0
"El cercanías te deja en la puerta del aeropuerto y es más barato que el Metro","El cercanías te deja en la puerta del aeropuerto y es más barato que el Metro.",0.99229074,1.0
"Diseño espectacular,limpio,bien comunicado y muy buena atención en general.","Diseño espectacular,limpio,bien comunicado y muy buena atención en general.",1.0,1.0
"Muy bien","Muy bien.",0.95184445,1.0
"Por lo menos en lo que respecta al metro está todo muy correcto","Por lo menos en lo que respecta al metro está todo muy correcto.",0.9918075,1.0
"Fácil usar fácil llegar!","Fácil usar fácil llegar!.",0.99663997,1.0
"Al preguntar en información de renfe como puede ir a Madrid , no son precisos y apáticos. No Dan información suficiente  al final te tienes que buscar como llegar a Madrid centro","Al preguntar en información de renfe como puede ir a Madrid , no son precisos y apáticos. No Dan información suficiente  al final te tienes que buscar como llegar a Madrid centro.",0.9976833,1.0
"Muy bien todo, suele estar muy concurrido a diario pero buena atención y buenos sitios donde tapear o comer","Muy bien todo, suele estar muy concurrido a diario pero buena atención y buenos sitios donde tapear o comer.",0.9930851,1.0
"Rápido y eficiente. Buena ayuda con la orientación del personal.","Buena ayuda con la orientación del personal. Rápido y eficiente.",0.9903009,1.0
"Olvídate del tren, es demasiado lento comparado con el metro. El coste es aproximadamente el mismo, pero hay menos trenes y hacen largas paradas de camino a Atocha.","Olvídate del tren, es demasiado lento comparado con el metro. El coste es aproximadamente el mismo, pero hay menos trenes y hacen largas paradas de camino a Atocha.",1.0,1.0
"Limpio y bien organizado.","Limpio y bien organizado.",1.0,1.0
"Las maquinas de Renfe Cercanias no aceptan tarjetas extanjeras.Mucha auerte si eres turista sin metalico Euro entonces... No es posible utilizar las máquinas Renfe para adquirir el billete. Rechazan pago con lector contactless. Buena suerte si la oficina está cerrada y no tienes € en efectivo.","No es posible utilizar las máquinas Renfe para adquirir el billete. Rechazan pago con lector contactless. Buena suerte si la oficina está cerrada y no tienes € en efectivo. Las maquinas de Renfe Cercanias no aceptan tarjetas extanjeras. Mucha auerte si eres turista sin metalico Euro entonces.",0.96868193,0.9
"Muy poca gente limpia bien","Muy poca gente limpia bien.",0.9825326,1.0
"Terminal de metro muy bien situado en medio de una gran avenida con facilidades de acceso.","Terminal de metro muy bien situado en medio de una gran avenida con facilidades de acceso.",1.0,1.0
"Nuevo, amplio, accesible, limpio. No se qué más pedir a una parada de Metro","Nuevo, amplio, accesible, limpio. No se qué más pedir a una parada de Metro.",0.99221563,1.0
"Me parece un lugar bastante tranquilo","Me parece un lugar bastante tranquilo.",0.98483616,1.0
"Bien una estación más!!","Bien una estación más!!.",0.9968823,1.0
"Una de las mejores estaciones de Metro","Una de las mejores estaciones de Metro.",0.9883429,1.0
"Estación tranquila en un barrio tranquilo. Nada para comer limpio. Fíjate en el techo de la estación.","Estación tranquila en un barrio tranquilo. Fíjate en el techo de la estación. Nada para comer limpio.",0.99648625,1.0
"Nueva estación de metro en buen estado.","Nueva estación de metro en buen estado.",1.0,1.0
"Si algún día renfe repara las escaleras mecánicas será un milagro....llevan como año y medio averiadas!!","Si algún día renfe repara las escaleras mecánicas será un milagro. llevan como año y medio averiadas!!.",0.99612087,0.7692307692307693
"Estación muy bien comunicada renfe,metro sur, aparcamientos, taxis, autobuses","Estación muy bien comunicada renfe,metro sur, aparcamientos, taxis, autobuses.",0.9921148,1.0
"Moderna, cuidada","Moderna, cuidada.",0.9627901,1.0
"Es muy bueno","Es muy bueno.",0.9640861,1.0
"Buenas instalaciones.","Buenas instalaciones.",1.0000001,1.0
"- No hay acceso desde la calle habilitado, para coches de bebés, sillas de ruedas y personas con movilidad reducida. - Cuando se han hecho obras hace poco tiempo, no han puesto ascensor. En esta…","- No hay acceso desde la calle habilitado, para coches de bebés, sillas de ruedas y personas con movilidad reducida. - Cuando se han hecho obras hace poco tiempo, no han puesto ascensor. En esta….",0.99929893,1.0
"Tiene cajero de Bankia. Servicio permanente en taquilla. No tiene ascensor para minusválidos ni padres con carritos de .…","Tiene cajero de Bankia. Servicio permanente en taquilla. …. No tiene ascensor para minusválidos ni padres con carritos de.",0.99772024,1.0
"Buen emplazamiento de la estación. Limpio.","Buen emplazamiento de la estación. Limpio.",1.0,1.0
"El barrio no es tan malo y la estación de metro acaba de ser renovada.","El barrio no es tan malo y la estación de metro acaba de ser renovada.",1.0,1.0
"Estacion de metro que pertenece a la linea 3. Dispone de ascensores pero no de cobertura movil. Ademas la estacion tiene goteras. No suele estar muy transitada de gente.","Estacion de metro que pertenece a la linea 3. Dispone de ascensores pero no de cobertura movil. Ademas la estacion tiene goteras. No suele estar muy transitada de gente.",1.0,1.0
"Situada cerca de la Administración de Hacienda de Usera-Villaverde. Ascensor. Amplios andenes.","Ascensor. Amplios andenes. Situada cerca de la Administración de Hacienda de Usera-Villaverde.",0.97520137,1.0
"La estación de metro de Almendrales fue inagurada el 21 de abril de 2007. Presta servicio la Linea 3 (Amarilla). Se encuentra ubicada en la intersección de la Avenida de Córdoba con Calle Piedrabuena. Se encuentra cerca de la Delegación de Administración de Hacienda de Usera.","La estación de metro de Almendrales fue inagurada el 21 de abril de 2007. Se encuentra ubicada en la intersección de la Avenida de Córdoba con Calle Piedrabuena. Se encuentra cerca de la Delegación de Administración de Hacienda de Usera. Presta servicio la Linea 3 (Amarilla).",0.9899261,1.0
"Estación de la línea 3 que funciona muy bien y estás en el centro de Madrid en diez minutos","Estación de la línea 3 que funciona muy bien y estás en el centro de Madrid en diez minutos.",0.9932517,1.0
"Estación nueva todo OK","Estación nueva todo OK.",0.9780299,1.0
"Almendrales es una estación del servicio de metro de Madrid línea 3 en el barrio Usera en Madrid España","Almendrales es una estación del servicio de metro de Madrid línea 3 en el barrio Usera en Madrid España.",0.9938438,1.0
"Es ideal !!!","Es ideal !!!.",0.99759483,1.0
"Es un lugar bueno y hermoso …","Es un lugar bueno y hermoso ….",0.9957273,1.0
