OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"He vivido 35 años en el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Desgraciadamente el barrio que conocí prácticamente ha desaparecido. La gente joven se ha ido a otras zonas a vivir. Una pena","He vivido 35 años en el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Una pena. La gente joven se ha ido a otras zonas a vivir. Desgraciadamente el barrio que conocí prácticamente ha desaparecido.",0.9951054,1.0
"localización con muchos bares interesantes","localización con muchos bares interesantes.",0.9729949,1.0
"…","….",0.9114009,0
"Muy rica comida..","Muy rica comida.",0.99521714,1.0
"Estación del.metro","Estación del. metro.",0.9870537,0.25
"jajaja","jajaja.",0.90236634,1.0
"Muchos vuelos y destinos. Muchas tiendas. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior. Eso mejoraría la imagen de estas terminales!","Muchos vuelos y destinos. Muchas tiendas. Eso mejoraría la imagen de estas terminales!. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior.",0.9951453,1.0
"Buena accesibilidad, limpieza en las instalaciones, señalización óptima.. Personal resolutivo, en el control de aduanas agilidad y buen servicio. Este aeropuerto esta a la altura de los mejores de Europa..","Buena accesibilidad, limpieza en las instalaciones, señalización óptima. Este aeropuerto esta a la altura de los mejores de Europa. Personal resolutivo, en el control de aduanas agilidad y buen servicio.",0.97083086,1.0
"Es bastante grande y con todos los servicios cubiertos. Las únicas cosas malas son: 1. Los baños: La gente suele ser poco limpia y es muy incómodo tener que hacer ejercicio antes de un viaje porque quieras mear y tienes que estar sujetando la puerta por un lado porque no tiene pestillo o está roto y haciendo sentadillas por otro lado porque no quieres tocar la taza ya que está sucia. 2. Los puestos de cambio de moneda: Si queréis cambiar la moneda es preferible que lo hagáis en un banco o en cualquier otro sitio y no aquí, dicen que no te cobran comisiones pero es mentira o por lo menos a mi me dieron de menos al cambio de moneda (les di 131,94€ para cambiar a coronas noruegas; ellas me dieron 1.000 coronas cuando me deberían de haber dado 1.532,83 coronas, es decir, se quedaron con 45,86€ a la hora de hacer el cambio). Y ellas me pidieron que les diese el 1,94€ para supuestamente darme las 1000 coronas justas. Quitando eso es un lugar en el que tienes de TODO y las personas del punto de información y las que me ayudaron para hacer el chek-in y facturar las maletas eran super amables y tuvieron algo de paciencia conmigo ya que era mi primer vuelo y tenía bastantes dudas.","Los puestos de cambio de moneda: Si queréis cambiar la moneda es preferible que lo hagáis en un banco o en cualquier otro sitio y no aquí, dicen que no te cobran comisiones pero es mentira o por lo menos a mi me dieron de menos al cambio de moneda (les di 131,94€ para cambiar a coronas noruegas; ellas me dieron 1. Y ellas me pidieron que les diese el 1,94€ para supuestamente darme las 1000 coronas justas. Las únicas cosas malas son: 1. Es bastante grande y con todos los servicios cubiertos. 532,83 coronas, es decir, se quedaron con 45,86€ a la hora de hacer el cambio). 2. Los baños: La gente suele ser poco limpia y es muy incómodo tener que hacer ejercicio antes de un viaje porque quieras mear y tienes que estar sujetando la puerta por un lado porque no tiene pestillo o está roto y haciendo sentadillas por otro lado porque no quieres tocar la taza ya que está sucia. 000 coronas cuando me deberían de haber dado 1. Quitando eso es un lugar en el que tienes de TODO y las personas del punto de información y las que me ayudaron para hacer el chek-in y facturar las maletas eran super amables y tuvieron algo de paciencia conmigo ya que era mi primer vuelo y tenía bastantes dudas.",0.9163991,0.9714285714285714
"El parking express es súper caro pero da un buen servicio","El parking express es súper caro pero da un buen servicio.",0.9885437,1.0
"Normalmente los accesos son rápidos...depende del dia y la hora, pero aún así...pasar  control de equipajes son 5 min. Una vez pasado el control, depende de la terminal, puedes tener un paseo largo hasta la puerta de embarque!","pasar  control de equipajes son 5 min. Normalmente los accesos son rápidos. depende del dia y la hora, pero aún así. Una vez pasado el control, depende de la terminal, puedes tener un paseo largo hasta la puerta de embarque!.",0.97546476,0.8076923076923077
"La T1 y T2 están bien, adecuados al flujo de pasajeros con buena iluminacion, limpieza, restauración y señalizacion. Heche en falta sitio para cargar los móviles. Por lo demás bien.","La T1 y T2 están bien, adecuados al flujo de pasajeros con buena iluminacion, limpieza, restauración y señalizacion. Por lo demás bien. Heche en falta sitio para cargar los móviles.",0.99672294,1.0
"Aeropuerto de Madrid. Adolfo Suarez... es a espectacular arquitectónicamente. Cómodo y fácil de ubicarte #LetsGuide #rosafrancomendoza","Adolfo Suarez. Aeropuerto de Madrid. es a espectacular arquitectónicamente. Cómodo y fácil de ubicarte #LetsGuide #rosafrancomendoza.",0.98857903,1.0
"La T1 está en obras incluido su estacionamiento (P1)  cuyo aspecto mejora mucho su aspecto. Esperemos al final de las obras; ¿Para cuándo?","La T1 está en obras incluido su estacionamiento (P1)  cuyo aspecto mejora mucho su aspecto. Esperemos al final de las obras; ¿Para cuándo?.",0.99875855,1.0
"en 2021 todavía hay agentes de seguridad en la T2 Madrid que confiscan droga(médicamente)  (ungüentos) y otros por razones de seguridad? !!  y vaciar la basura por la noche","en 2021 todavía hay agentes de seguridad en la T2 Madrid que confiscan droga(médicamente)  (ungüentos) y otros por razones de seguridad? !!  y vaciar la basura por la noche.",0.9982227,1.0
