"URL","Usuario","Info","Fecha","Reseña","fontBodySmall","fontBodySmall 2","kyuRq"
"https://lh3.googleusercontent.com/a-/ALV-UjXh-_pwnlAIKyVUy5Z0SPaoX90ZZmpRJDtLeC2k4tEDBj2buIrz4A=w45-h45-p-rp-mo-ba6-br100","CaPiTaN LePrA","Local Guide · 325 reseñas · 1.897 fotos","Hace 6 meses","Emblemática avenida principal de Madrid, es muy bonita recorrela y ver los innumerables locales comerciales. Mucho más linda a la noche que se aprecia todo su explendor con la iluminación de las fachadas.","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXSNOvhuYP6EojdS1-mxSsee7H0YIWC0CnfGcbTT0ZlucSvbvdqRQ=w45-h45-p-rp-mo-ba6-br100","Marie .Cesario","Local Guide · 483 reseñas · 692 fotos","Hace 7 meses","Hermosa avenida, un emblema de la ciudad de Madrid. Súper transitada, a lo largo de la misma llena de tiendas, restaurants de todo tipo, cafeterías, hoteles, estaciones de metro, y rodeada de una espléndida arquitectura y majestuosos edificios blancos. Una visita obligada para disfrutar y caminar, aunque no muy recomendable en verano por el calor y ya que no hay nada de sombra.","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXBplPkUPpDMMokJ9J1cqyLzEv9syN_isdK0ZwVfbLOxiwRf-x78g=w45-h45-p-rp-mo-ba4-br100","Carlos Camacho","Local Guide · 86 reseñas · 307 fotos","Hace un año","Excelente de las principales atracciones de la. Cuidad de Madrid la infraestructura es algo que resalta del todo muy hermosa consigues todas las tiendas más importante a nivel nacional e internacional así como restaurantes, hoteles, teatros y mucho más...","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUyl_EleaX2TK1BKm1cfukQ4CkqbXw4ySduSfY2BzGjXWIWgsm2=w45-h45-p-rp-mo-ba5-br100","Dimitri George","Local Guide · 246 reseñas · 791 fotos","Hace 3 años","Gran Vía es una estación de las líneas 1 y 5 del Metro de Madrid ubicada bajo la Gran Vía, en el distrito Centro, bajo la Red de San Luis, plazuela donde confluyen la Gran Vía y las calles de Fuencarral, Hortaleza y Montera. Tras la reforma y reapertura en Julio 2021 la estación se ha modernizado bastante y junto a ella la calle Montera en la superficie.","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWmoriqnjUviTT9b5Eru2xlX3yPdsM8ZJPshpkTzUMtWBSZ2RgC=w45-h45-p-rp-mo-ba6-br100","Eduardo Ruiz","Local Guide · 605 reseñas · 2.494 fotos","Hace 2 años","Una estación que necesitaba una remodelación urgente. Se ha convertido en una bonita y moderna estación de metro, unida con la puerta del sol por debajo de tierra, ahora es accesible para todo el mundo. Tienes la línea 5 y la línea 1.","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVNkv-kgq0aY76C-f03gxisxLftoGs4ScCOLY5lDl6cqDP3XxMQ=w45-h45-p-rp-mo-ba6-br100","Roberto Diez Exposito","Local Guide · 448 reseñas · 2.760 fotos","Hace un año","La conexión entre líneas en perfecta, llegué desde Atocha en la liendres 1 (azul claro) y tuve que cambiar a la línea 5 (verde) para poder llegar hasta la estación de Suanzes, todo super sencillo y rápido, bien señalizado y sin complicaciones. Muy buena opción para moverse por Madrid sin tener que sufrir el tráfico rodado.","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXAw2ykBZi0GpynhnzZFt0rjVm0syNmdOyXy19tAunWv8JzMP8iRw=w45-h45-p-rp-mo-ba3-br100","Hector Reyes","Local Guide · 32 reseñas · 10 fotos","Hace un año","Populosa vía española, muy concurrida por turistas de muchos países, hoteles fabulosos, locales de comida exquisita, y edificios con hermosas fachadas.","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXB3AoL99jxnlbT4wLW-PSvaYyxKXpRjmknFQW9VbEou5qkSD_A=w45-h45-p-rp-mo-ba7-br100","Thomas W.J.","Local Guide · 527 reseñas · 6.811 fotos","Hace 3 años","Cerrada durante 2 años o más, ha reabierto recientemente. Aparentemente muy bonito. Incluso una mini Expo con cosas halladas durante la reforma. Llama la atención que no hayan puesto escaleras mecánicas en el primer tramo, desde el andén de L1. Eso hace que las sillitas de bebé se suban entre dos. Luego di que hay mecánicas en el resto de tramos.","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW28izxgrrl-puYvx-5scmuAfN7pynqYwF2r8Znxo0O1-yyp94M=w45-h45-p-rp-mo-ba5-br100","ΣdU4rdØ","Local Guide · 184 reseñas · 539 fotos","Hace 2 años","Esto sí que es la esencia de Madrid, con sus edificios monumentales, zonas peatonales, comercios de todo tipo y la palpitante vida de la capital. Gran Vía, de día, de noche, con frío o calor: impresionante","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV0VVCtPR_YiJDCp1hAAia2yFZt8M4HZzGzebyPMSW4R10K7smh=w45-h45-p-rp-mo-ba6-br100","Fernando F","Local Guide · 427 reseñas · 1.949 fotos","Hace 2 años","Como en todo el Metro, faltan baños públicos vigilados para el uso de los Madrileños que lo necesiten cuando lo usamos. A mí no me importaría pagar por su uso, pero que existan. La nueva estación restaurada y su museo de cosas encontradas en las obras está muy bien.","","",""
