"yC3ZMb href","Vpc5Fe","GSM50","enjdgf","enjdgf 2","KgoSse href","y3Ibjb","OA1nbd"
"https://www.google.com/maps/contrib/110405021009092548138/reviews?hl=es","Guevara Ramirez","Local Guide30 reseñas107 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUN6cHNyQVBBEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUN6cHNyQVBBEi4KF0NJSE0wb2dLRUlDQWdJQ3pwc3JBdkFFEhNDZ3dJcnNMdHNnWVFvS3ZsMXdFGi0KFkNJSE0wb2dLRUlDQWdJQ3pwc3JBZkESE0Nnd0lyc0x0c2dZUW9Ldmwxd0UiEglLKGKSzolBDRGXwcGoqyb8hyoTQ2d3SXJzTHRzZ1lRb0t2bDF3RQ&wv=1&d=286732336&gsas=1","Hace 3 meses","La estación de ""La Peseta"" pertenece a la Linea 11 (la que es de color verde oscuro). Está situada en el Distrito de Carabanchel, justo en el Ensanche de la Peseta entre la calle Salvador Allende con la avenida La Peseta. Se encuentra dentro de la zona ""A"" de Madrid.Está estación tiene accesibilidad ya que cuenta con ascensor para personas con movilidad reducida, cochesitos para bebes y personas mayores, ademas cuenta con escaleras mecanicas; todo en buen estado y de buen uso, punto adicional dentro de la estacion justo frente del ascensor tienes parking para bicicletas. La misma fue inaugurada el 18 de diciembre de 2006 y rinde su nombre a la antigua moneda de España, posee una unica salida que dentro de ella se encuentra el ascensor y justo enfrente de esta estación pasan autobuses diurnos y nocturnos que conectan con el centro de la ciudad de Madrid."
"https://www.google.com/maps/contrib/102675908520274660387/reviews?hl=es","Ma Ca","Local Guide1.249 reseñas21888 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURRcU1MX0N3EAE&entityid=ChZDSUhNMG9nS0VJQ0FnSURRcU1MX0N3Ei4KF0NJSE0wb2dLRUlDQWdJRFFxTUxfaXdFEhNDZ3dJZ2RidzJnVVF3SU96c2dNGi0KFkNJSE0wb2dLRUlDQWdJRFFxTUxfU3cSE0Nnd0lnZGJ3MmdVUXdJT3pzZ00iEgkAAAAAAAAAABGXwcGoqyb8hyoTQ2d3SWdkYncyZ1VRd0lPenNnTQ&wv=1&d=286732336&gsas=1","Hace 6 años","La estación en si está bastante bien. Se ubica la salida en un parque, que está justo al lado. El inconveniente es que no llega cobertura móvil aún a la línea."
"https://www.google.com/maps/contrib/108293932960910386988/reviews?hl=es","Carlos Palancar Clavo","Local Guide210 reseñas","·","","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURIaVlITEhBEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSURIaVlITEhBEi0KF0NJSE0wb2dLRUlDQWdJREhpWUhMbkFFEhJDZ3NJOGNTbHR3WVE4T24zTXcaLAoWQ0lITTBvZ0tFSUNBZ0lESGlZSExYQRISQ2dzSThjU2x0d1lROE9uM013IhIJAAAAAAAAAAARl8HBqKsm_IcqEkNnc0k4Y1NsdHdZUThPbjNNdw&wv=1&d=286732336&gsas=1","hace 5 días","Está muy bien ese lugar"
"https://www.google.com/maps/contrib/108228810732649980607/reviews?hl=es","VEBRMAD","211 reseñas11394 fotos","·","","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURwNGZIQlFnEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSURwNGZIQlFnEi4KF0NJSE0wb2dLRUlDQWdJRHA0ZkhCd2dFEhNDZ3dJZ3JDWXB3WVE0Ty1vdXdNGi4KF0NJSE0wb2dLRUlDQWdJRHA0ZkhCb2dFEhNDZ3dJZ3JDWXB3WVE0Ty1vdXdNIhIJAAAAAAAAAAARl8HBqKsm_IcqE0Nnd0lnckNZcHdZUTRPLW91d00&wv=1&d=286732336&gsas=1","Hace un año","Buena ubicación , salida a una gran avenida. Suelo limpio , próximamente tendrá ampliación de linea hasta el norte de Madrid."
"https://www.google.com/maps/contrib/103410020721680727610/reviews?hl=es","Toni Jardim","Local Guide443 reseñas4441 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURJX05uRzNBRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURJX05uRzNBRRIuChdDSUhNMG9nS0VJQ0FnSURJX05uanp3RRITQ2d3SXBPYVM0UVVROE5TUXF3RRotChZDSUhNMG9nS0VJQ0FnSURJX05uR1BBEhNDZ3dJcE9hUzRRVVE4TlNRcXdFIhIJAAAAAAAAAAARl8HBqKsm_IcqE0Nnd0lwT2FTNFFVUThOU1Fxd0U&wv=1&d=286732336&gsas=1","Hace 5 años","Es un parque agradable, amplio, con parque para niños, mesas y sillas, por supuesto con la estación de metro la peseta"
"https://www.google.com/maps/contrib/108922402159027387541/reviews?hl=es","Jesús Farfan","Local Guide155 reseñas60 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURlLWVHU3pRRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURlLWVHU3pRRRIsChZDSUhNMG9nS0VJQ0FnSURlLWVHU0xREhJDZ3NJODV5bW1nWVFpTi1uVGcaLQoXQ0lITTBvZ0tFSUNBZ0lEZS1lR1NyUUUSEkNnc0k4NXltbWdZUWlOLW5UZyISCQAAAAAAAAAAEZfBwairJvyHKhJDZ3NJODV5bW1nWVFpTi1uVGc&wv=1&d=286732336&gsas=1","Hace un año","La estación del Metro La Peseta está muy bien ubicada y sus alrededores son muy agradables visualmente, puesto que sus áreas circundantes son amplias, arboladas y con salida a la avenida La Peseta de Carabanchel. A pocos metros tienes esta vía comercial, además de las diversas líneas de autobuses con paradas en los alrededores."
"https://www.google.com/maps/contrib/100144564490144871070/reviews?hl=es","David Crespo","Local Guide1.353 reseñas6918 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNjeWJPZk5nEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNjeWJPZk5nEi4KF0NJSE0wb2dLRUlDQWdJQ2N5Yk9mdGdFEhNDZ3dJanB2Y2d3WVEtSm1DZ3dFGi0KFkNJSE0wb2dLRUlDQWdJQ2N5Yk9mZGcSE0Nnd0lqcHZjZ3dZUS1KbUNnd0UiEgkAAAAAAAAAABGXwcGoqyb8hyoTQ2d3SWpwdmNnd1lRLUptQ2d3RQ&wv=1&d=286732336&gsas=1","Hace 3 años","Estación moderna, limpia ,amplia y luminosa. Con muy  buen acceso. Ascensor para personas con movilidad reducida♿🚻.Personal amable y atento. Para ser una estación moderna le falta cobertura de móvil, wifi. 100 % recomendable."
"https://www.google.com/maps/contrib/109307869175104818590/reviews?hl=es","Abraham EC (tпианист)","Local Guide16 reseñas1 foto","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNnbDVhd3lnRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNnbDVhd3lnRRItChZDSUhNMG9nS0VJQ0FnSUNnbDVhd0tnEhNDZ3dJZzRULXpnVVFnTUxncVFFGi4KF0NJSE0wb2dLRUlDQWdJQ2dsNWF3cWdFEhNDZ3dJZzRULXpnVVFnTUxncVFFIhIJAAAAAAAAAAARl8HBqKsm_IcqE0Nnd0lnNFQtemdVUWdNTGdxUUU&wv=1&d=286732336&gsas=1","Hace 6 años","Es una estación de metro modernizada con una única entrada (y salida)  y con entrada para discapacitados. Ubicado en el parque de la peseta, no cuenta con cobertura pero el personal que se encuentra ahí para cualquier ayuda que necesites es bastante profesional."
"https://www.google.com/maps/contrib/103575008109099801314/reviews?hl=es","Noemi Arevalo","Local Guide146 reseñas13 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNaNWFYRW5RRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNaNWFYRW5RRRItChZDSUhNMG9nS0VJQ0FnSUNaNWFYRVhREhNDZ3dJc3QtTXFBWVE4TTM0bHdFGi4KF0NJSE0wb2dLRUlDQWdJQ1o1YVhFM1FFEhNDZ3dJc3QtTXFBWVE4TTM0bHdFIhIJAAAAAAAAAAARl8HBqKsm_IcqE0Nnd0lzdC1NcUFZUThNMzRsd0U&wv=1&d=286732336&gsas=1","Hace un año","La terraza funciona muy bien y es amplia. Funciona en invierno también"
"https://www.google.com/maps/contrib/108779145561600361994/reviews?hl=es","tatiana sierra navarrete","Local Guide39 reseñas8 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURPOXFuTWdRRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURPOXFuTWdRRRItChZDSUhNMG9nS0VJQ0FnSURPOXFuTVFREhNDZ3dJOHUtUGxnWVF1TF9TOHdJGi4KF0NJSE0wb2dLRUlDQWdJRE85cW5Nd1FFEhNDZ3dJOHUtUGxnWVF1TF9TOHdJIhIJAAAAAAAAAAARl8HBqKsm_IcqE0Nnd0k4dS1QbGdZUXVMX1M4d0k&wv=1&d=286732336&gsas=1","Hace 2 años","Me encanta la zona,de relativa nueva construcción,con ambiente joven,buenos locales de restauración, bien comunicada,y que voy a decir,es mi barrio,me encanta."
