"yC3ZMb href","Vpc5Fe","GSM50","enjdgf","enjdgf 2","KgoSse href","y3Ibjb","OA1nbd"
"https://www.google.com/maps/contrib/115726937315427840810/reviews?hl=es","J. Noir","Local Guide91 reseñas78 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNBb09faW13RRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNBb09faW13RRItChZDSUhNMG9nS0VJQ0FnSUNBb09faVd3EhNDZ3dJOG91R3pnVVFnT19Vb2dNGi4KF0NJSE0wb2dLRUlDQWdJQ0FvT19pMndFEhNDZ3dJOG91R3pnVVFnT19Vb2dNIhIJozaey8E-Qg0R6K8Ue4L1ta8qE0Nnd0k4b3VHemdVUWdPX1VvZ00&wv=1&d=286732336&gsas=1","Hace 7 años","Estación con ascensor perteneciente a la Línea 9 (morada) del Metro de Madrid, y correspondiente a la zona B3.Se sitúa entre Rivas Vaciamadrid y Arganda del Rey, y la estación de inauguró en 1999."
"https://www.google.com/maps/contrib/109457129500031654295/reviews?hl=es","Mariajose Perez","36 reseñas","","","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURUMk1uNGtBRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURUMk1uNGtBRRItChZDSUhNMG9nS0VJQ0FnSURUMk1uNFVBEhNDZ3dJb3NtMnNnWVFrTUNOa0FNGi4KF0NJSE0wb2dLRUlDQWdJRFQyTW40MEFFEhNDZ3dJb3NtMnNnWVFrTUNOa0FNIhIJAAAAAAAAAAAR6K8Ue4L1ta8qE0Nnd0lvc20yc2dZUWtNQ05rQU0&wv=1&d=286732336&gsas=1","Hace 4 meses","El servicio de metro en  hora punta una pena tiempo de espera 11 minutos y lento"
"https://www.google.com/maps/contrib/109959028149185681941/reviews?hl=es","ANTONIO CRUZ SANCHEZ","Local Guide3.628 reseñas8902 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUQ3MHZpd2pnRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUQ3MHZpd2pnRRIsChZDSUhNMG9nS0VJQ0FnSUQ3MHZpd1RnEhJDZ3NJX2ZhZXRnWVEtT0RnUUEaLQoXQ0lITTBvZ0tFSUNBZ0lENzB2aXd6Z0USEkNnc0lfZmFldGdZUS1PRGdRQSISCQAAAAAAAAAAEeivFHuC9bWvKhJDZ3NJX2ZhZXRnWVEtT0RnUUE&wv=1&d=286732336&gsas=1","Hace 4 semanas","Parada de metro que necesita un re acondicionado urgente"
"https://www.google.com/maps/contrib/111204539118019965517/reviews?hl=es","Rafael Viñuela","Local Guide438 reseñas69 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURqLXRmR3VnRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURqLXRmR3VnRRItChZDSUhNMG9nS0VJQ0FnSURqLXRmR2VnEhNDZ3dJNE5yTnNRWVEwT0hqdndJGi4KF0NJSE0wb2dLRUlDQWdJRGotdGUyNndFEhNDZ3dJNE5yTnNRWVEwT0hqdndJIhIJAAAAAAAAAAAR6K8Ue4L1ta8qE0Nnd0k0TnJOc1FZUTBPSGp2d0k&wv=1&d=286732336&gsas=1","Hace 4 meses","Esta bastante bien 👍"
"https://www.google.com/maps/contrib/103162603389103716907/reviews?hl=es","Feli Garcia","24 reseñas22 fotos","·","","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNzdk12N093EAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNzdk12N093Ei4KF0NJSE0wb2dLRUlDQWdJQ3N2S3YtOFFFEhNDZ3dJeUpHejhRVVFzSTI3N2dJGi0KFkNJSE0wb2dLRUlDQWdJQ3N2S3YtQ1ESE0Nnd0l5Skd6OFFVUXNJMjc3Z0kiEgkAAAAAAAAAABHorxR7gvW1ryoTQ2d3SXlKR3o4UVVRc0kyNzdnSQ&wv=1&d=286732336&gsas=1","Hace 4 años","Lo mejor ,muy tranquilo y no hay nada lejos"
"https://www.google.com/maps/contrib/108240926200876751574/reviews?hl=es","Manu C","Local Guide151 reseñas129 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURBcVlPZVJBEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSURBcVlPZVJBEi4KF0NJSE0wb2dLRUlDQWdJREFxWU9leEFFEhNDZ3dJcWNXYTBRVVF3TXJEandFGi0KFkNJSE0wb2dLRUlDQWdJREFxWU9lSkESE0Nnd0lxY1dhMFFVUXdNckRqd0UiEgkAAAAAAAAAABHorxR7gvW1ryoTQ2d3SXFjV2EwUVVRd01yRGp3RQ&wv=1&d=286732336&gsas=1","Hace 6 años","Quiza el parking a veces se queda un poco limitado, pero no es muy habitual"
"https://www.google.com/maps/contrib/103478760026953822965/reviews?hl=es","Jean Estrada","4 reseñas1 foto","·","","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUN0bkoydFZREAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUN0bkoydFZREi4KF0NJSE0wb2dLRUlDQWdJQ3RuSjJ0MVFFEhNDZ3dJajd2ZnJRWVEySjNwdUFNGi0KFkNJSE0wb2dLRUlDQWdJQ3RuSjJ0TlESE0Nnd0lqN3ZmclFZUTJKM3B1QU0iEgkAAAAAAAAAABHorxR7gvW1ryoTQ2d3SWo3dmZyUVlRMkozcHVBTQ&wv=1&d=286732336&gsas=1","Hace 7 meses","Muy bien 👍"
"https://www.google.com/maps/contrib/115326689269249056662/reviews?hl=es","Pablo Richieri","Local Guide393 reseñas401 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURnOWJMenJBRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURnOWJMenJBRRItChZDSUhNMG9nS0VJQ0FnSURnOWJMemJBEhNDZ3dJdnNYdnlRVVFnT0RQMVFFGi4KF0NJSE0wb2dLRUlDQWdJRGc5Ykx6N0FFEhNDZ3dJdnNYdnlRVVFnT0RQMVFFIhIJAAAAAAAAAAAR6K8Ue4L1ta8qE0Nnd0l2c1h2eVFVUWdPRFAxUUU&wv=1&d=286732336&gsas=1","Hace 7 años","Muy tranquilo y con mucho verde!"
"https://www.google.com/maps/contrib/102973869289462779481/reviews?hl=es","Concha Casasola Garcia","Local Guide85 reseñas","·","","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUN3bEtIM0dBEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUN3bEtIM0dBEi0KF0NJSE0wb2dLRUlDQWdJQ3dsS0gzbUFFEhJDZ3NJbnJEdTBnVVF3UFAyTkEaLAoWQ0lITTBvZ0tFSUNBZ0lDd2xLSDNXQRISQ2dzSW5yRHUwZ1VRd1BQMk5BIhIJAAAAAAAAAAAR6K8Ue4L1ta8qEkNnc0luckR1MGdVUXdQUDJOQQ&wv=1&d=286732336&gsas=1","Hace 6 años","Es penoso el servicio de la linea a las horas puntas"
"https://www.google.com/maps/contrib/106429525604666284462/reviews?hl=es","Jose Peyre","Local Guide565 reseñas501 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUN3NEwzLWV3EAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUN3NEwzLWV3Ei4KF0NJSE0wb2dLRUlDQWdJQ3c0TDMtLXdFEhNDZ3dJcDltdzBRVVF3TENEd3dFGi0KFkNJSE0wb2dLRUlDQWdJQ3c0TDMtQncSE0Nnd0lwOW13MFFVUXdMQ0R3d0UiEgkAAAAAAAAAABHorxR7gvW1ryoTQ2d3SXA5bXcwUVVRd0xDRHd3RQ&wv=1&d=286732336&gsas=1","Hace 6 años","¿Se pueden pagar los billetes con tarjeta?"
