"yC3ZMb href","Vpc5Fe","GSM50","enjdgf","enjdgf 2","KgoSse href","y3Ibjb","OA1nbd"
"https://www.google.com/maps/contrib/102675908520274660387/reviews?hl=es","Ma Ca","Local Guide1.249 reseñas21888 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUR6a2FPRGJREAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUR6a2FPRGJREi0KF0NJSE0wb2dLRUlDQWdJRHprYU9EN1FFEhJDZ3NJdnJ5ZHN3WVF3TFhjREEaLAoWQ0lITTBvZ0tFSUNBZ0lEemthT0RIURISQ2dzSXZyeWRzd1lRd0xYY0RBIhIJAAAAAAAAAAARyuMLGG_ou6AqEkNnc0l2cnlkc3dZUXdMWGNEQQ&wv=1&d=286732336&gsas=1","Hace 3 meses","Estación de metro que pertenece a la línea 2. La salida da a un parque muy grande y bien cuidado. Dispone de ascensores."
"https://www.google.com/maps/contrib/103410020721680727610/reviews?hl=es","Toni Jardim","Local Guide443 reseñas4441 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURJM1pXNzZ3RRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURJM1pXNzZ3RRIsChZDSUhNMG9nS0VJQ0FnSURJM2RXRkF3EhJDZ3NJLV9XQjRnVVF2WnpSRncaLQoWQ0lITTBvZ0tFSUNBZ0lESTNaVzdHdxITQ2d3SS12V0I0Z1VRd0stMGtRTSISCQAAAAAAAAAAEcrjCxhv6LugKhJDZ3NJLV9XQjRnVVF2WnpSRnc&wv=1&d=286732336&gsas=1","Hace 5 años","Última estación de la línea 2 del metro Madrid, bien mantenida, iluminación, temperatura, limpieza."
"https://www.google.com/maps/contrib/107967261859031859713/reviews?hl=es","Julio Diarte","Local Guide826 reseñas3509 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNabGN1emN3EAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNabGN1emN3Ei4KF0NJSE0wb2dLRUlDQWdJQ1psY3V6OHdFEhNDZ3dJai1hTnFBWVF3T2FKdFFNGi0KFkNJSE0wb2dLRUlDQWdJQ1psY3V6Q3cSE0Nnd0lnOHlOcUFZUXFPT1Z6Z00iEgkAAAAAAAAAABHK4wsYb-i7oCoTQ2d3SWotYU5xQVlRd09hSnRRTQ&wv=1&d=286732336&gsas=1","Hace un año","Tiene buen acceso para las personas con movilidad reducida. A la salida se puede disfrutar de un pequeño parque."
"https://www.google.com/maps/contrib/107617880028669830312/reviews?hl=es","José Julio Melgares","Local Guide2.805 reseñas12351 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNBaTg3bnh3RRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNBaTg3bnh3RRIsChZDSUhNMG9nS0VJQ0FnSUNBaTg3bkp3EhJDZ3NJOWF6TnpBVVF3S3VtTFEaLQoXQ0lITTBvZ0tFSUNBZ0lDQWk4N25wd0USEkNnc0k5YXpOekFVUXdLdW1MUSISCQAAAAAAAAAAEcrjCxhv6LugKhJDZ3NJOWF6TnpBVVF3S3VtTFE&wv=1&d=286732336&gsas=1","Hace 7 años","Moderna estación cabecera de la línea 2. Tiene un solo acceso/salida en el bulevar del Paseo Ginebra al que podemos llegar a través de las escaleras o el ascensor."
"https://www.google.com/maps/contrib/108973524283005565819/reviews?hl=es","Ana67","Local Guide117 reseñas197 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNRcGVEMzlnRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNRcGVEMzlnRRItChZDSUhNMG9nS0VJQ0FnSUNRcGVEM0RnEhNDZ3dJMmJ2RXhnVVFnTkhjX0FFGi4KF0NJSE0wb2dLRUlDQWdJQ1FwZUQzamdFEhNDZ3dJMmJ2RXhnVVFnTkhjX0FFIhIJAAAAAAAAAAARyuMLGG_ou6AqE0Nnd0kyYnZFeGdVUWdOSGNfQUU&wv=1&d=286732336&gsas=1","Hace 7 años","Muy buen barrio. Gente joven.Para hacer cualquier tipo de deporte,  canchas de baloncesto y fútbol, Villa Olímpica (Estadio de fútbol del Atlético de Madrid), gimnasios callejeros, Asociación de vecinos con muchas actividades, comercios, muchas zonas verdes."
"https://www.google.com/maps/contrib/117062556749863790124/reviews?hl=es","ruben arnaiz","Local Guide103 reseñas16 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUMxb2VUMUJnEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUMxb2VUMUJnEi4KF0NJSE0wb2dLRUlDQWdJQzFvZVQxaGdFEhNDZ3dJcjhqQ3JBWVFzSUw3ekFJGi0KFkNJSE0wb2dLRUlDQWdJQzFvZVQxUmcSE0Nnd0lyOGpDckFZUXNJTDd6QUkiEgkAAAAAAAAAABHK4wsYb-i7oCoTQ2d3SXI4akNyQVlRc0lMN3pBSQ&wv=1&d=286732336&gsas=1","Hace 8 meses","Estación de metro en una zona residencial tranquila y con muchas posibilidades de aparcar."
"https://www.google.com/maps/contrib/118031275428442451035/reviews?hl=es","Irene PL","Local Guide57 reseñas11 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNXNk9EUzZBRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNXNk9EUzZBRRItChZDSUhNMG9nS0VJQ0FnSUNXNk9EU0dBEhNDZ3dJN3BTMWtBWVEySTJjamdNGi0KF0NJSE0wb2dLRUlDQWdJQ1c2T0RTbUFFEhJDZ3NJNlk2MWtBWVEyTXkxV3ciEgkAAAAAAAAAABHK4wsYb-i7oCoTQ2d3STdwUzFrQVlRMkkyY2pnTQ&wv=1&d=286732336&gsas=1","Hace 2 años","La gente de seguridad muy desagradable. Nunca están, y cuando están es para aparentar que trabajan.  Mientras saco el billete oigo cómo se ríen de la gente a la que pillan sin billete. Ahí se han quedado, de cháchara y aún mofándose."
"https://www.google.com/maps/contrib/116288515352464891156/reviews?hl=es","Iván de Diego","Local Guide291 reseñas168 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNnc2Zpd1h3EAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNnc2Zpd1h3Ei0KFkNJSE0wb2dLRUlDQWdJQ2dzZml3UHcSE0Nnd0ktdXU1emdVUXdNT2NnUUUaLQoWQ0lITTBvZ0tFSUNBZ0lDZ3NmaXdmdxITQ2d3SS11dTV6Z1VRd01PY2dRRSISCQAAAAAAAAAAEcrjCxhv6LugKhNDZ3dJLXV1NXpnVVF3TU9jZ1FF&wv=1&d=286732336&gsas=1","Hace 6 años","Estación de Metro muy moderna que da muy buen servicio al barrio. Tiene buenos accesos con escaleras y ascensor. Se colapsa en días de partido, convirtiéndose todo en insuficiente."
"https://www.google.com/maps/contrib/116494499936439105766/reviews?hl=es","Victor Manuel Gonzalez","Local Guide12 reseñas5 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURHNFktYnNBRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURHNFktYnNBRRIsChZDSUhNMG9nS0VJQ0FnSURHNFktYmNBEhJDZ3NJNV91WmpRWVEwSnk2QncaLQoXQ0lITTBvZ0tFSUNBZ0lERzRZLWI4QUUSEkNnc0k1X3VaalFZUTBKeTZCdyISCQAAAAAAAAAAEcrjCxhv6LugKhJDZ3NJNV91WmpRWVEwSnk2Qnc&wv=1&d=286732336&gsas=1","Hace 2 años","Me gusta el color limón de la estación esta bien mantenido,muy limpia y una afluencia ni muy baja ni muy alta,la zona es muy bonita."
"https://www.google.com/maps/contrib/104093500731570943152/reviews?hl=es","Angel Alvarez","Local Guide25 reseñas","·","","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURCaG8yTFJnEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSURCaG8yTFJnEi4KF0NJSE0wb2dLRUlDQWdJREJobzJMeGdFEhNDZ3dJbXItY25nWVEySW43MEFNGi0KFkNJSE0wb2dLRUlDQWdJREJobzJMSmcSE0Nnd0ltci1jbmdZUTJJbjcwQU0iEgkAAAAAAAAAABHK4wsYb-i7oCoTQ2d3SW1yLWNuZ1lRMkluNzBBTQ&wv=1&d=286732336&gsas=1","Hace un año","Estación con entrada muy bien cuidada, en un entorno muy agradable"
