"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2"
"https://lh3.googleusercontent.com/a-/ALV-UjUm85vOUPCnhIWG64maRKiOHyQL9fzB41l_HSQR_zINwxzgW9E=w36-h36-p-rp-mo-ba3-br100","Coy Yana Zborshchyk","Local Guide · 13 reseñas · 2 fotos","Hace un mes","Creo que las puertas al infierno están en túneles cercanos de la estación porque el calor que hace dentro parece infernal","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjU4JklmPJ7VxPYM6OsKOj-4femhtYJ4nZzqiwSTUEOi6SBTGvuz7g=w36-h36-p-rp-mo-ba3-br100","Samuel Ruiz","Local Guide · 8 reseñas · 60 fotos","Hace 7 años","De las estaciones más nuevas de la línea 1 del metro de Madrid. Sin embargo, carece de señal móvil, esto ocurre desde Valdecarros hasta Pacífico.","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUcKi-RfaQkzSDxEc4AbgnMPLjf0yWmeI1kaSvNpAK6NtIqFPWP=w36-h36-p-rp-mo-ba5-br100","NAS","Local Guide · 474 reseñas · 423 fotos","Hace un mes","Estación más cercana al Centro Comercial La Gavia","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjUXFC8s-uYIGmtZU9mH1UZlUIbIcGqBh3Pho20VF4n_dKLbzHE7=w36-h36-p-rp-mo-ba6-br100","DANY YOLI","Local Guide · 651 reseñas · 5.662 fotos","Hace 6 meses","Estación ubicada en el ensanche de Vallecas.","","Compartir","","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjU5xtYz51wdfEVa0K1YSNajNedwrgwjiFTRLg_Y1RxK4gGXS8v84Q=w36-h36-p-rp-mo-ba5-br100","S P","Local Guide · 124 reseñas · 446 fotos","Hace un año","Es una estación de metro muy nueva, es enorme. Está en una zona que es un descampado. Está a unos 8 minutos andando del Centro Comercial La Gavia.","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjX_jrlybVm7Urr-qnhuooriBac10OvIVrQIABAEwGylKMBzOgEB=w36-h36-p-rp-mo-ba3-br100","Court","Local Guide · 41 reseñas · 5 fotos","Hace un año","Espectacular amplitud y diseño de la estación, zona bastante bonita y muy cercana al centro comercial la Gavia.","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjUyy7GTxvJUd3dV4N9DzMiFN2Dx0o0dtW7aTu2LEqnFRM5WL9XF=w36-h36-p-rp-mo-ba4-br100","Azucena T.C.","Local Guide · 31 reseñas · 176 fotos","Hace 5 años","Sales del metro y justo por detrás de la estación del metro ves unos edificios (los que se ven en la foto al fondo de color rojo). También se ve un Banco Santander. Detrás de esos edificios está el Centro Comercial La Gavia y el Ikea.","","","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.249 reseñas · 21.888 fotos","Hace 2 años","Estación de metro que pertenece a la línea 1. Estación moderna (Ya que es una prolongación de la línea), sigue la estética de todas las estaciones últimas abiertas. Dispone de ascensor y cobertura móvil. Solo dispone de un acceso a la calle.","","","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjXdNE1Gv5uz5KhYexIza6qC6tmvBBbdR-OTc_Me0UtX-RbqmSfz=w36-h36-p-rp-mo-ba3-br100","Oscar Parra Rodríguez","Local Guide · 32 reseñas · 7 fotos","Hace un año","Lugar muy tranquilo y acogedor, con varias áreas de parques y entrenamiento para niños, centro comercial La gavia cerca de aqui","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a/ACg8ocJBnVK1UJMIKOed32W-Cn4anWGdXujuMcsah01etSYJtaw7dQ=w36-h36-p-rp-mo-ba8-br100","Francisco","Local Guide · 1.401 reseñas · 7.779 fotos","Hace 4 años","Parada de la línea 1. La parada más cercana al centro comercial La Gavia.
Sólo tiene 1 salida","","","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjXZqWkqIPDqbd54eiozHIdlAIl1h3ESWNxu6TaSsKwwdy4-ci6a=w36-h36-p-rp-mo-ba4-br100","José luis Perez ortega","Local Guide · 98 reseñas · 18 fotos","Hace un año","La estación está muy limpia y tiene seguridad","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a/ACg8ocJ2Za0yJQsH5GK8IOxJ5yYOFUpUarfEvOq0cTY50Dje4kpkiQ=w36-h36-p-rp-mo-br100","Feli Moya Lopez","8 reseñas","Hace un año","Hay sitio para aparcar cerca del metro?","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a/ACg8ocJ2D867zw3r-r9ki0lTyvGJb9yy_NwJc8aZO65c3KxwEVKHxt4=w36-h36-p-rp-mo-ba4-br100","Esther","Local Guide · 135 reseñas · 2 fotos","Hace 3 años","Muy concurrido por el centro comercial la gavia lindo sitio","","","","Compartir"
"https://lh3.googleusercontent.com/a/ACg8ocIxIABA3sXjcWpjGji1rQs00a8dxUVhOFvFjohPkmGv-zqDSw=w36-h36-p-rp-mo-ba5-br100","juafer juafer","Local Guide · 289 reseñas · 232 fotos","Hace 4 meses","Una estación más de metro.","","Me gusta","","Compartir"
