"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a-/ALV-UjXJNWUQzVCaFd1W_Ax0WYCGFn4unJEMYISVCCaZsJRgSMoFe_J8=w36-h36-p-rp-mo-ba4-br100","BC Matencio Gonzales","Local Guide · 50 reseñas · 39 fotos","Hace 3 semanas","La estación normalmente tiene un buen mantenimiento. El ascensor está disponible casi en todo el horario de funcionamiento, al igual que las escaleras eléctricas.
Referente a la frecuencia diaria (L-V) del metro L3, el primer metro pasa entre 6:07 y 6:10, por lo que pueden tomarlo como referencia para rutas tempranas ya que Google no lo toma en cuenta.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a/ACg8ocKJBFMjGmBPrqaC4dySgdkKu0fQs5SBK9_hwK1L8mrKmweQ6Q=w36-h36-p-rp-mo-ba5-br100","Beatriz González Herradón","Local Guide · 278 reseñas · 688 fotos","Hace 7 años","Barrio castizo, lo más típico de Madrid, que conserva el encanto de las casas centenarias con sus balcones y está poblado por una gran variedad cultural, pero viven en armonía en éste céntrico barrio con mucho ambiente de bares y tapeo a precio correcto. Recomendable, pero hay callejuelas oscuras no recomendables de noche, como en cualquier sitio... de día es agradable, el simple hecho de sentarse en un banco y acabar conversando con los ancianos que llevan allí toda la vida, turistas o variedad racial te da una buena perspectiva 😉","","Compartir","","","Me gusta","3"
"https://lh3.googleusercontent.com/a-/ALV-UjU7EqmbJpTifj0XFQjdFkWFLScMxfv7tdtcLBM6MXYJ8XIlW-X2JQ=w36-h36-p-rp-mo-ba7-br100","Cris Sánchez De Paz","Local Guide · 2.144 reseñas · 2.033 fotos","hace 4 días","La estación esta muy bien, es bastante grande","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXDqI6YcQt-mtmIGFFLGaGy-ebJ3tEwmyjjrN0PDXKEpEamT1h0=w36-h36-p-rp-mo-ba6-br100","Victoria Senaty","Local Guide · 412 reseñas · 2.035 fotos","Hace 3 años","Es una estación pequeña, pero suficiente. Tiene ascensor. Es la amarilla. Además a 2 estaciones de Sol. Pero no siempre fue una estacion, era una fuente hasta el siglo XVII, que abasteciase de un caudal de siete km. Aquella época en que convivían las tres culturas asentadas, árabe, hebreos y cristianos.
Después se convirtió en lo castizo de Madrid, los Manolos, las chulapas, las majas. El metro en los años 30, justo donde estaba la fuente mencionada. En la actualidad hay habitantes de todas las etnias, no concibo lo de ""interacial"" ya que razas,no hay nada más que una, la raza humana. Por lo tanto, todas estas culturas, aportan tiendas de ceramicas, especias, kebab, restaurantes hindúes, árabes, gallegos, vascos, zapateros castizos, peluquerías afro. Hay supermercado 24h. Hoteles, pensiones, farmacias, absolutamente de todo. Es un barrio muy sencillo. Ha sido referido en muchas obras literarias, películas y a nivel internacional en prensa. Os pongo una panorámica. A la derecha la plaza de lavapies, centro calle sombrerete, izquierda, hotel y teatro Valle Inclan. Es un barrio lleno de artesanos.","","Compartir","","","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjUd5355MyLpS7UQRkLkQ92vJMY8DgzZDBKw9Vqx53lIlWlBNl107Q=w36-h36-p-rp-mo-ba3-br100","Krisdell Funes","Local Guide · 37 reseñas · 29 fotos","Hace un año","Es como ir al pasado o algo parecido porque las vistas de los pisos son explendidas, a mi parecer hermoso","","Compartir","","Me gusta","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVQF4JAArD-0wtUrjb2WyyHGrM_Uqr0iUwSsQVHM--sCIpYt8w6=w36-h36-p-rp-mo-ba6-br100","3eatryz S.","Local Guide · 401 reseñas · 1.793 fotos","Hace 7 años","Diversidad, respeto, mezcla y mucha variedad. La mejor opción para tomar o comer algo en sitios diferentes. Las fiestas del barrio Lavapiés muy recomendables para todas las edades.","","Compartir","","","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXAM9ZwCGiASgWLTtzcGE9zkvFq1fN2glAGqCH6Ld9SF2fPqZ49Dw=w36-h36-p-rp-mo-ba5-br100","Laura Trujillo","Local Guide · 230 reseñas · 561 fotos","Hace un año","Barrio multicultural en Madrid . Me encanta . Es genial para quedar a tomar algo , tiene de todo y estás cerca de cualquier lado para desplazarte por Madrid .","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX1GPbRxeh3y3cNhsIct2MRO4Np2s_mL_IqjfiGxe36lfgr4FQfAw=w36-h36-p-rp-mo-ba6-br100","Regulo Rico","Local Guide · 389 reseñas · 6.445 fotos","Hace 2 años","Un barrio sin igual con sus costumbres y belleza de arquitectura.","","Compartir","","","Me gusta","1"
"https://lh3.googleusercontent.com/a/ACg8ocLUWOZvjykVWm7bZ1NNk8yDyAsmKdow7B0-HZDlFBJWZ12D4A=w36-h36-p-rp-mo-ba5-br100","Carmen Zincke","Local Guide · 160 reseñas · 2 fotos","Hace 4 meses","Tan solo voy a clases de la UNED pero es un sitio problemático.","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjWRBWrgA1KgfjKC-6iaN6qO_jtI0r3sPz4Y24YpVfV3ghkqUkI9=w36-h36-p-rp-mo-ba6-br100","santiago sanchez jimenez","Local Guide · 471 reseñas · 333 fotos","Hace 2 semanas","El puro centro de Madrid","","Me gusta","","Compartir","",""
