"yC3ZMb href","Vpc5Fe","GSM50","enjdgf","enjdgf 2","KgoSse href","y3Ibjb","OA1nbd"
"https://www.google.com/maps/contrib/109338926861609206327/reviews?hl=es","Guillermo Musica _","Local Guide286 reseñas228 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNiZ2M3Y2JREAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNiZ2M3Y2JREi0KF0NJSE0wb2dLRUlDQWdJQ2JnYzdjN1FFEhJDZ3NJbDVXVnRRWVFxS3JGZHcaLAoWQ0lITTBvZ0tFSUNBZ0lDYmdjN2NIURISQ2dzSWw1V1Z0UVlRcUtyRmR3IhIJKSS0fbkoQg0RLSQJxXlCq0YqEkNnc0lsNVdWdFFZUXFLckZkdw&wv=1&d=286732336&gsas=1","Hace un mes","### Reseña: Estación de Metro Lista#### Ubicación y Contexto- **Localización:** La estación de Metro Lista se encuentra en el barrio de Salamanca, en el distrito Centro de Madrid, España. Está situada en la intersección de la calle Lista y la calle Príncipe de Vergara.- **Líneas:** Es una estación de la línea 4 (naranja) del Metro de Madrid.#### Historia y Desarrollo- **Inauguración:** La estación de Lista fue inaugurada el 24 de enero de 1944 como parte de la extensión de la línea 4.- **Nombre:** La estación recibe su nombre de la calle Lista, una importante arteria del barrio de Salamanca, cuyo nombre remonta a la calle Lista en la ciudad de Madrid.#### Infraestructura y Servicios- **Accesos:** La estación cuenta con accesos desde la calle Lista y está equipada con escaleras mecánicas y ascensores para facilitar el acceso a personas con movilidad reducida.- **Instalaciones:** Ofrece servicios como máquinas expendedoras de billetes, taquillas, y paneles informativos electrónicos. También hay algunas tiendas y servicios adicionales en los alrededores.- **Seguridad:** La estación está equipada con cámaras de vigilancia y personal de seguridad para garantizar la seguridad y el confort de los pasajeros.#### Conexiones y Transporte- **Líneas de Metro:**- **Línea 4:** Conecta Lista con Argüelles y Pinar de Chamartín, pasando por estaciones importantes como Bilbao y Goya.- **Autobuses:** Varias líneas de autobuses de la EMT Madrid tienen paradas en las cercanías, proporcionando conexiones adicionales a otras áreas de la ciudad.- **Cercanías:** Aunque la estación no tiene una conexión directa con la red de Cercanías Renfe, está relativamente cerca del intercambiador de Nuevos Ministerios, donde se puede hacer transbordo a otras líneas de Cercanías.#### Importancia y Uso- **Flujo de Pasajeros:** Lista es una estación de tráfico moderado, principalmente utilizada por residentes del barrio de Salamanca y personas que se desplazan por la zona comercial y residencial.- **Puntos de Interés:** La estación está cerca de la calle Lista, que ofrece una variedad de servicios y comercios. También se encuentra en una zona bien conectada con áreas comerciales y residenciales del barrio de Salamanca.#### Opiniones y Experiencias de los Usuarios- **Accesibilidad:** Los usuarios aprecian la accesibilidad de la estación, con buenas instalaciones para personas con movilidad reducida.- **Conectividad:** La estación proporciona una conexión útil dentro de la línea 4, facilitando el acceso a diferentes puntos de Madrid, aunque no es un nodo de transbordo principal.- **Mantenimiento:** La estación es generalmente bien considerada por su limpieza y mantenimiento, ofreciendo un entorno seguro y cómodo para los pasajeros.En resumen, la estación de Metro Lista es una parte integral de la línea 4, proporcionando acceso conveniente al barrio de Salamanca. Su ubicación y las conexiones que ofrece la hacen valiosa para los residentes y visitantes que se desplazan por esta zona de Madrid."
"https://www.google.com/maps/contrib/112202794521758619198/reviews?hl=es","runrunner8","10 reseñas","","","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURkdUtlSGxBRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURkdUtlSGxBRRItChZDSUhNMG9nS0VJQ0FnSURkdUtlSFZBEhNDZ3dJdGN2VXJnWVFrTmJidkFJGi4KF0NJSE0wb2dLRUlDQWdJRGR1S2VIMUFFEhNDZ3dJdGN2VXJnWVFrTmJidkFJIhIJAAAAAAAAAAARLSQJxXlCq0YqE0Nnd0l0Y3ZVcmdZUWtOYmJ2QUk&wv=1&d=286732336&gsas=1","Hace 7 meses","como vas a llamasr a una parada lista eres memo o que te pasa esto es denunciable"
"https://www.google.com/maps/contrib/104871197742233345850/reviews?hl=es","Maria Zuazo","Local Guide254 reseñas1451 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNtbm9PREJnEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNtbm9PREJnEi0KF0NJSE0wb2dLRUlDQWdJQ21ub09EaGdFEhJDZ3NJX19LeGpnWVEwSXJRVlEaLAoWQ0lITTBvZ0tFSUNBZ0lDbW5vT0RSZxISQ2dzSV9fS3hqZ1lRMElyUVZRIhIJAAAAAAAAAAARLSQJxXlCq0YqEkNnc0lfX0t4amdZUTBJclFWUQ&wv=1&d=286732336&gsas=1","Hace 2 años","No es una de las zonas que más visite, me queda algo apartado. Sin embargo cuando no tengo quehaceres me encanta caminar por la ciudad. Los ambientes, gentes, tiendas, restaurantes.."
"https://www.google.com/maps/contrib/117723118621800323750/reviews?hl=es","VÍCTOR VIRGÓS","Local Guide1.719 reseñas18915 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNLbWN6UHdnRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNLbWN6UHdnRRItChZDSUhNMG9nS0VJQ0FnSUNLbWN6UElnEhNDZ3dJc3ZYSGd3WVEwTFhkdXdFGi4KF0NJSE0wb2dLRUlDQWdJQ0ttY3pQb2dFEhNDZ3dJc3ZYSGd3WVEwTFhkdXdFIhIJAAAAAAAAAAARLSQJxXlCq0YqE0Nnd0lzdlhIZ3dZUTBMWGR1d0U&wv=1&d=286732336&gsas=1","Hace 3 años","Esta zona tan cercana ya a Goya es súper animada y tiene muchos comercios para comprar y tomar algo. Es zona bastante exclusiva y de mucho paso comercial."
"https://www.google.com/maps/contrib/116401931155882703744/reviews?hl=es","luis MP","Local Guide143 reseñas30 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNaMDVPZmlnRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNaMDVPZmlnRRIsChZDSUhNMG9nS0VJQ0FnSUNaMDVPZlNnEhJDZ3NJcnJDY3FBWVEtTkxzQmcaLQoXQ0lITTBvZ0tFSUNBZ0lDWjA1T2Z5Z0USEkNnc0lyckNjcUFZUS1OTHNCZyISCQAAAAAAAAAAES0kCcV5QqtGKhJDZ3NJcnJDY3FBWVEtTkxzQmc&wv=1&d=286732336&gsas=1","Hace un año","De las que necesitan reforma, no hay acceso para silla de ruedas, cochecito de niños..."
"https://www.google.com/maps/contrib/114195926946230963475/reviews?hl=es","Nonchaloir","10 reseñas","","","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUN3bnF1aFJ3EAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUN3bnF1aFJ3Ei0KF0NJSE0wb2dLRUlDQWdJQ3ducXVoeHdFEhJDZ3NJNTR5QzJnVVF3TzM5WEEaLAoWQ0lITTBvZ0tFSUNBZ0lDd25xdWhKdxISQ2dzSTU0eUMyZ1VRd08zOVhBIhIJAAAAAAAAAAARLSQJxXlCq0YqEkNnc0k1NHlDMmdVUXdPMzlYQQ&wv=1&d=286732336&gsas=1","Hace 6 años","He visto a varias personas accediendo al metro sin pagar por falta de personal de seguridad.Lo que no pagan los jetas que se cuelan luego lo pagamos entre todos"
"https://www.google.com/maps/contrib/107467991566402401698/reviews?hl=es","Satur Vicente Vidal","Local Guide164 reseñas2368 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURJOHZ5Q0d3EAE&entityid=ChZDSUhNMG9nS0VJQ0FnSURJOHZ5Q0d3EiwKFkNJSE0wb2dLRUlDQWdJREk4dnoxZXcSEkNnc0lvYTJmNFFVUXRZWHdPURouChdDSUhNMG9nS0VJQ0FnSURJOHZ5Q213RRITQ2d3SW9LMmY0UVVRdUpQaXVBTSISCQAAAAAAAAAAES0kCcV5QqtGKhJDZ3NJb2EyZjRRVVF0WVh3T1E&wv=1&d=286732336&gsas=1","Hace 5 años","Ambiente de barrio(dentro del distrito SALAMANCA) popular y muy comercial."
"https://www.google.com/maps/contrib/109087357673863066626/reviews?hl=es","Rocio Rodrigo Rubio","Local Guide276 reseñas","·","","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNBdzVuWFJnEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNBdzVuWFJnEi4KF0NJSE0wb2dLRUlDQWdJQ0F3NW5YeGdFEhNDZ3dJeU5lQzBBVVF3S3ZCbXdNGi0KFkNJSE0wb2dLRUlDQWdJQ0F3NW5YSmcSE0Nnd0l5TmVDMEFVUXdLdkJtd00iEgkAAAAAAAAAABEtJAnFeUKrRioTQ2d3SXlOZUMwQVVRd0t2Qm13TQ&wv=1&d=286732336&gsas=1","Hace 6 años","Lista es una estación del servicio de metro de Madrid línea 4 en el barrio de Salamanca en Madrid España"
"https://www.google.com/maps/contrib/110353634724620787316/reviews?hl=es","Jota Eme","Local Guide603 reseñas3033 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURlcVotc09BEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSURlcVotc09BEi4KF0NJSE0wb2dLRUlDQWdJRGVxWi1zdUFFEhNDZ3dJdWJHaG1nWVE4TnJudEFJGi0KFkNJSE0wb2dLRUlDQWdJRGVxWi1zZUESE0Nnd0l1YkdobWdZUThOcm50QUkiEgkAAAAAAAAAABEtJAnFeUKrRioTQ2d3SXViR2htZ1lROE5ybnRBSQ&wv=1&d=286732336&gsas=1","Hace un año","Un barrio muy ""barato"".."
"https://www.google.com/maps/contrib/107617880028669830312/reviews?hl=es","José Julio Melgares","Local Guide2.805 reseñas12351 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNBaTVyMWpRRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNBaTVyMWpRRRItChZDSUhNMG9nS0VJQ0FnSUNBaTVyMVRREhNDZ3dJaWQ3MXlBVVF3UG1CZ1FJGi4KF0NJSE0wb2dLRUlDQWdJQ0FpNXIxelFFEhNDZ3dJaWQ3MXlBVVF3UG1CZ1FJIhIJAAAAAAAAAAARLSQJxXlCq0YqE0Nnd0lpZDcxeUFVUXdQbUJnUUk&wv=1&d=286732336&gsas=1","Hace 7 años","No tiene ascensores."
