"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","dSlJg 2","znYl0","znYl0 2"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 21.888 fotos","Hace 6 años","Estación amplia y moderna, igual que todas las nuevas que hacen. Pertenece a la línea 12 de metro. No tiene cobertura. La espera de los trenes es más alta que en el resto de las líneas de metro. Según sales hay un supermercado Aldi justo al lado. También hay un monumento a 1808","","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjU8i6E5PvA7-s0uBIb-eOXHQlH0E5Fyk9bdDaBL-ZsE3pHtVzvJhw=w36-h36-p-rp-mo-ba4-br100","Francisco Martínez Ceacero","Local Guide · 75 reseñas · 159 fotos","Hace 7 años","Moderna estación en un barrio de nueva construcción.","","","Me gusta","Compartir"
"https://lh3.googleusercontent.com/a/ACg8ocKKXZsbaEkl-8gapsRCDRwI_toXatAxqMz9oX3gL-lx02Y5gA=w36-h36-p-rp-mo-ba3-br100","Eduardo Sánchez Leganés","Local Guide · 29 reseñas","Hace 5 años","Plaza gigantesca, sin una sola sombra... Si quieres estar sentado en la plaza en verano, mejor esperar a la noche porque si no puedes morir de calor.

En la parte de abajo hay dos parques infantiles minúsculos que están siempre abarrotados, y entre medias de uno y otro el suelo es de tierra, por lo que cuando llueve no puedes atravesar por aquí y debes ampliar el recorrido yéndote a los laterales para ir por asfalto.

Además colinda con dos hermosos y grandes descampados, en los cuales no es raro ver ratas corriendo de día o de noche, pero la suciedad y el abandono es la tónica general de la parte nueva del PAU por parte del ayuntamiento, así que a los vecinos del barrio no nos sorprende.","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjUoUVwiAh1LY-Jex3uQKe7rJVJfzs7F-iRzhfCS4bRByBs4xaKasA=w36-h36-p-rp-mo-ba7-br100","Sergio Núñez López","Local Guide · 889 reseñas · 11.691 fotos","Hace 3 años","Estación de metro de la línea 12 en Móstoles.","","","Me gusta","Compartir"
"https://lh3.googleusercontent.com/a/ACg8ocL0Zbud-SSGzWDnkYuXmsdmQt4uOjEfuMGfmOic2fnUmoE_Ew=w36-h36-p-rp-mo-br100","libardo rubiano ramirez","1 reseña · 1 foto","Hace 9 meses","Excelente lugar, jose atiende de una forma muy agradale, dan ganas de seguir viniendo a este BAR !!!","","","Me gusta","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjWLACXdJpxAEtH4VPDZ6W-LTnps140tTNMhBX1wAlTzaIgVmXqf=w36-h36-p-rp-mo-ba5-br100","Gabriel Montero Montes","Local Guide · 404 reseñas · 582 fotos","Hace 8 años","La estación de Metro Sur de Manuela Malasaña fue inagurada el 11 de abril de 2003. Presta servicio la Linea 12 (Verde oscuro). La estación se encuentra en la intersección de la Avenida Osa Menor con Calle Desarrollo en el municipio de Móstoles. La estación se encuentra en una zona residencial dando servicio prácticamente a los habitantes de la zona. Muy próxima a ella está la Plaza del Sol de Móstoles, un amplio espacio de 67.000 metros cuadrados en la que la astronomía es la temática. Un bune lugar en el que poder sacar a los niños a pasear o pasar la tarde sentado en un banco.","","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjXQDRhgt9rk5hyNqOP-_rGYje-e-6YJ_lgnZtaVPv7UzjgDCRm1=w36-h36-p-rp-mo-ba3-br100","Yoangheli González","Local Guide · 72 reseñas · 9 fotos","Hace 6 meses","Es una de las estaciones más bonitas de Metro Sur","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a/ACg8ocKOIKnf1Nq2b3JITUMDXjGtquu5sHqtDj42XVChlfq0USjaHA=w36-h36-p-rp-mo-ba3-br100","Adrian Garces","Local Guide · 22 reseñas","Hace 3 años","Le doy una estrella solo no a la estación de metro en sí, si no, porque estando en plena pandemia me parece que está muy mal controlado todo y lo poco que hacen en metro es postureo de cara al público y las noticias. Decepcionante todo.","","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjVWLRxTiyFLfVFPvKkxHl8XiEhbznzwxrdipuRbKVgkqydr-j9B=w36-h36-p-rp-mo-ba6-br100","Fernando Rebollo","Local Guide · 190 reseñas · 1.710 fotos","Hace 4 años","Decadente. Más que decadente. No se cuanto nos costará este metro sur que no sirve para nada. Obviamente lo estamos aún pagando. Y lo que queda. Que lo cierren YA. Y dejemos de pagar una infraestructura FARAONICA que no usa nadie. O casi","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a/ACg8ocLRH_Af_HOvUnoh7EXzwsD5smrWBBA4DXgySAPeGPjLIL2jNA=w36-h36-p-rp-mo-ba5-br100","Bárbara González San Martín","Local Guide · 200 reseñas · 691 fotos","Hace 5 años","Estación adaptada a personas que vayan en silla de ruedas y a personas que lleven carros de bebé. Como curiosidad, esta foto del andén 2, en la que aparece una lagartija.","","","","Compartir"
