"Hace 4 semanas","Siempre que quiero coger el metro tarda como 10 minutos en venir y se supone que el metro es la vía más rápida para llegar al destino que uno quiere. Es una vergüenza que siempre tarde 10 minutos!"
"Hace un año","Sin duda un barrio encantador con mucho ambiente y mucho comercio, un buen sitio para ir de cañas con los amigos y probar sus tapas"
"Hace un año","Uno de los mejores barrios de Madrid, sin lugar a dudas. Tiene absolutamente de todo, y nada que envidiarle a Malasaña."
"Hace 6 años","Pertenece a la línea 5 de metro. Es una de las paradas más antiguas. No está adaptada para personas minusvalidas, puesto que no tiene ascensor. Tiene varias salidas. Una de ellas al mercado de la cebada y al teatro de la latina. Otra de ellas a Caramelos Paco y otra salida más que da a la plaza."
"Hace un año","Una zona muy agradable con muchos restaurantes para elegir."
"Hace 7 meses","Me encanta pasear por la latina, mogollón de bares y ambiente.. Por supuesto no dejar sin visitar el mercado de la cebada"
"Hace un año","Un barrio mágico con muchos lugares lindos para visitar, para comer, caminar y disfrutar"
"Hace 11 meses","Clínica KIHARU . La primera vez que acudo a un centro de estética. Aumento de labios con ácido hialurónico. Una leve molestia por la anestesia y después nada. El resultado a priori me gustó, tras los días necesarios para que se estabilizaran , me encantó. Unos labios naturales que apenas se nota. Un trato agradable por parte del personal. Lo recomiendo. Gran variedad de opciones para mejora estética . Larry muy cuidadoso y profesional."
"Hace 2 años","Céntrica plaza desde donde emprender cualquier paseo por la villa de Madrid"
"Hace 11 meses","Buen barrio como siempre, pero apestado de gentes de toda Europa por lo menos, aunque converse en la calle con una argentina de bellos ojos negros. BESOS."
"Hace 2 años","Buen sitio para salir por la noche, mucha gente internacional"
"Hace 4 años","Parada de metro, donde llegas al mercado de la cebada y al barrio de la Latina, también al rastro. La estación de metro hace un homenaje a Lina Morgan, está no es apta para minusválidos. Tiene máquinas para obtener el billete y pasa la línea 5 por aquí."
"Hace 10 meses","Zona castiza de Madrid,muchas opciones para comer,teatros,mercado...de todo en un espacio muy reducido,todo muy cerca,con metro,a 10 minutos de sol."
"Hace 4 años","Es un barrio de lo más castizo de Madrid. Donde podrás encontrar una gran cantidad de terrazas, plazas y calles con un encanto maravilloso del Madrid antiguo. Con una vida nocturna fantástica.  Un barrio que tiene vida de día y de noche, todos los días de la semana. Especialmente los domingos con la visita obligada al rastro de Madrid"
"Hace un mes","Gran metro, se mueve a gran velocidad y buen precio, sin duda repetiria"
"Hace 4 meses","Buen lugar para caminar y tapear"
"Hace 2 meses","Punto neurálgico de la movida madrileña."
"Hace un año","Casco antiguo de Madrid muy bien comunicado con todo trasporte público y lleno de toda clase de restauración y el célebre rastro de madrid muy transitado."
"Hace un año","Hermoso lugar situado en el centro de la ciudad maravilloso para hacer turismo y salir con amigos , Madrid 🇪🇸  es encantador…"
"Hace un año","La Latina es una plaza muy bonita entre cruces de calles. El barrio es muy concurrido y hay muchos cafecitos de tendencia además de negocios manejados por los propietarios quienes son muy creativos y de tendencia"
"Hace 2 años","Es un barrio con mucho encanto, antiguo asentamiento árabe, conserva la historia de los orígenes madrileños. Mucha onda para jóvenes, locación ideal para filmó y series"
"Hace un año","Está estación lo único que le hace falta un ascensor ya que los tramos de escaleras son largos y en cuanto se averían las escaleras mecánicas ya es un problema, es una de las estaciones con salida al rastro de Madrid"
"Hace 6 años","Arroceria la traviesa calle Toledo 47"
"Hace 2 años","Una plaza con gran vida y una gran mezcolanza de gentes, culturas y costumbres,  sobre todo  los domingos  por su confluencia  con el mítico  Rastro de Cascorro, Madrid,  o Rastro a secas."
"Hace 2 años","Lugar castizo donde los haya en Madrid. Destacar el mercado de la Cebada, el teatro de la Latina y, los domingos, su proximidad al Rastro"
"Hace 2 años","Un barrio con mucho encanto,comercios tradicionales y también originales y reconvertidos. Está el famoso Rastro,una experiencia única para los domingos."
"Hace 4 años","Icónica aunque deberían darle un lavado de cara"
"Hace 5 años","Barrio madrileño muy típico los domingos en Madrid. Muchos de sus bares ponen tapas con la caña. Suele rondar por los 2€,2'5."
"Hace 2 años","Un desastre en la noche, los trenes tardan demasiado en pasar. Aunque, eso sí, ésta línea te trae a uno de los barrios más emblemáticos de Madrid."
"Hace 7 años","Un lugar para disfrutar.  también nos puedes ubicar aquí por la zona"
"Hace un año","Muy buen trabajo..... Hacía falta un complejo como este en la zona centro. Muy buena piscina, con otra pequeña de recuperación... Y con todo tipo de aparatos..... Enhorabuena....."
"Hace 10 meses","Muy buena atención!"
"Hace 5 años","Muy buena zona para tapear y tomar cervezas. Suele estar bastante hasta arriba cualquier restaurante o bar, pero merece la pena. Muy buen ambiente."
"Hace 7 años","La zona de La Latina es una de las más marchosas de Madrid en la actualidad. Con muchos bares y tabernas para tapear. Numerosos restaurantes para comer, algunos de los más famosos de Madrid como Lucio, Botín o Julián de Tolosa. Y por la noche muchos locales pata tomarse un buen trago. Mejor entre diario porque los fines de semana se pone a tope."
"Hace 4 años","La Latina siempre es un lugar ideal para pasar el día con gran oferta de hostelería y bonitos lugares para pasear visitando el Madrid de los Austrias. Mi lugar favorito de Madrid."
"Hace un año","Los Domingos está lleno de hosteleria de todos los saberes y el gran rastro de Madrid con 1800 puestos con produstos de todas las clases, atrévete."
"Hace 2 años","Teatro de la Latina y fuente en la plaza"
"Hace 8 meses","Veterana estación de metro. Mucha escalera. El metro de Madrid es el mejor."
"Hace 4 años","La zona está de obras desde hace tiempo y hay demasiadas salidas. Debería de mejorar las indicaciones."
"Hace 5 años","Es un sitio encantador en todo sentido, sitio historico con todo tipo de restaurantes y bares, el mercado de la Cebada y es muy agradable pasear por ese barrio."
"Hace 4 años","Me encanta Madrid y lo que puedes encontrar en los alrededores de la parada de Metro Subway de La Latina que recomiendo visitar si tienes la suerte de poder viajar a Madrid, encontraras Teatros, Bares de todo tipo, y sus habitantes son de lo más variopinto, sumando que yo siempre que puedo ir a Madrid voy en Metro ya que me resulta comodo e incluso divertido... ¡Me encanta Madrid!"
"Hace un año","Barrio con mucha alegría lleno de bares y diversidad de ideas me sentí cómodo"
"Hace 7 años","Los domingos se celebra el Mercado de 'El Rastro', visita obligada e imprescindible en Madrid. Es la estacion mas cercana a la Plaza de Cascorro que es el nucleo central del mercado que luego baja por la calle Ribera de Curtidores"
"Hace 2 meses","Es la zona de los turistas"
"Hace 3 años","Un sitio muy ambiental y hay bares y cafetería para todo tipo de gastronomía"
"Hace 2 años","Me robaron la cartera en el metro (en este trayecto) había mucha gente en el tren. Al día siguiente fui a preguntar al personal del metro de la latina y lo encontraron! Me atendieron muy bien y fueron gentiles."
"Hace un año","Tiene varias salidas, lo único que le falta es un buen ascensor."
"Hace un año","Sí pone que se cierra a las 10 debería cerrar la las 10, A las nueve y media del viernes día 10 / 3 estaba cerrado."
"Hace 3 años","El sitio está muy bien, es pequeño y no puedes comerlo allí, es el único fallo, pero la comida la hacen en el momento y está muy rica."
"Hace un año","Siempre lugar para pasar un gran rato . Grandes experiencias"
"Hace 5 meses","Excelente zona"
"Hace 3 años","La Fuentecilla es el nombre popular de una pequeña fuente monumental de Madrid, emplazada en la confluencia de la calle de Arganzuela y la calle de Toledo. Fue construida a principios del siglo XIX."
"Hace un año","Fácil entrar y salir y es limpia. Otra buena estación del metro"
"Hace 2 meses","Estación de metro de las más clásicas de Madrid, es accesible"
"Hace 4 años","Un hervidero de gente siempre con infinidad de locales para comprar y tomar algo. Especialmente los domingos con El Rastro, esto se llena de gente"
"Hace 4 años","Excelente lugar para pasar en madrid y alojarse como en casa. Muy buena atención de Álvaro."
"Hace 2 años","Barrio del centro de Madrid,  hay que recorrerlo para conocerle y ver su magia"
"Hace 2 años","Un barrio multicultural, con muchos bares, restaurantes y tiendas variadas."
"Hace 9 meses","La estación ideal para ir a plaza mayor y ver las luces de navidad"
"Hace 7 años","Esta estación nos deja junto al Teatro de La Latina y el Mercado de La Cebada"
"Hace un año","Mi barrio ( los fines de semana , solo vienen borrachos"
"Hace un año","Sin aire acondicionar en verano. Que horror Muy mal"
"Hace 5 años","TODOS LOS DOMINGOS, YA ES UNA DE LAS TRADICIONES, EN MADRID, IR POR LA MAÑANA  AL.... YA Y MUY FAMOSO ""RASTRO""  Y EMPEZAR DE CAÑAS Y DE TAPEO POR TODOS LOS BARES DE LA ZONA.. COMER, MERENDAR, PASEAR, LIGAR, RISAS , Y MÁS RISAS, FACE TO FACE...!!! HASTA QUE TU CUERPO AGUANTE.. TODO EL AÑO ASÍ.... DE TERRAZAS. HASTA INCLUSO LLEGADA LA NOCHE. #ELLUJOMEEMBORRACHA #LETSGUIDE #HELLOMADRIDNEWS #ELLUJOMEEMBOLINGA"
"Hace 5 años","TODOS LOS DOMINDOS, Y LA TRADICIÓN MANDA, IR POR LAS MAÑANAS A EL FAMOSO RASTRO DE MADRID. UN MERCADO AL AIRE LIBRE, DESDE LA PLAZA DE CASCORRO. CALLE RIBERA DE CURTIDORES TIENDAS DE ANTICUARIOS, Y OBJETOS DE SEGUNDA MANO,( PARA REGATIAR PRECIOS) Y LLENISIMO DE GENTE. Y LA TARDE Y NOCHE TERRAZAS, RESTAURANTE Y BARES DE TODO EL ÁREA  LLENISIMO DE GENTE, EN GRUPOS, EN PAREJA, CON SUS MASCOTAS PASIANDO, Y RIENDO POR LA ZONA Y RUTA DE LAS CAÑAS. PLANAZO. #HELLOMADRIDNEWS #INFO #LETSGUIDE #VAVAVGUIDE #VENAVERMEALGUNAVEZ"
"Hace 4 meses","Me encanta"
"Hace 4 años","Bueno gente que me atiende,lugar histórico. Mercado de la Cebada,Cava alta ... Porta pasear,comprar y un vino, La Latina."
"Hace 5 años","La trabajadora de la estación la latina muy borde. Atención al cliente muy deficiente. El día martes 13 de agosto de 2019 a las 18:30 horas."
"Hace un año","Con vida y colorido muchos bares y terrazas... Alegré.."
"Hace un año","Visita al Rastro. Hoy imposible , demasiada gente para disfrutarlo"
"Hace 4 años","Por que. Allí. Està. El rastro"
"Hace 4 años","Bonito barrio en el centro de Madrid.mucho ambiente"
"Hace un año","Emblemático lugar turístico de Madrid"
"Hace 3 años","Buen sitio para pasear y tomarte algo."
"Hace 3 años","Pasaros, alternaz en sus bares con o sin Rastro, disfrutar de sus calles....id sin rumbo fijo"
"Hace 7 años","Me gusta el barrio y sobre todo mercado de la Cebada y Cascorro"
"Hace 6 años","Es un teatro pequeño, pero con el encanto maravilloso que le otorgan los años."
"Hace 2 años","El mejor  barrio de Madrid"
"Hace 4 años","Estudio allí ,buen ambiente y muy buen instituto(IES San Isidro)"
"Hace un año","Una estación muy céntrica y con mucha cultura"
"Hace 6 meses","Está bien.."
"Hace 8 años","Imprescindible pasar un domingo por la zona. Unas cañas es obligación!"
"Hace 2 años","Es de difícil acceso para gente con movilidad reducida"
"Hace 2 años","Excelentes hamburguesas al salir de la estación y tragos"
"Hace un año","Parada de metro muy normalita, una mas nada a destacar"
"Hace un año","Un barrio estupendo y castizo"
"Hace 5 años","De lo mejor de Madrid"
"Hace 5 años","Excelente zona de tapeo, en el centro de Madrid."
"Hace 7 años","Es que tienes que pasar por La Latina"
"Hace 9 meses","Bien y varios puestos"
"Hace 2 años","Los domingos son mejores con el rastro"
"Hace 2 años","Una estación más del metro de Madrid."
"Hace un año","Muy bonito y madrileño"
"Hace 4 años","Uno de los barrios mas castizos de Madrid."
"Hace 2 años","Una estación muy antigua y bonita"
"Hace 6 años","Fiesta cualquier día,  a cualquier hora...  total honor al nombre ""Latina"""
"Hace 8 años","Zona de tapeo. Muy abarrotada los domingos que hace bueno."
"Hace 4 años","Bien. Skn mas"
"Hace un año","Es bonito el barrio"
"Hace un año","El metro es uno más de los inaccesibles para personas con dificultades"
"Hace 4 años","la barcelona de Madrid. Je. Ojo en la plaza que esta movidito"
"Hace 7 meses","Lo más!"
