"Hace 3 años","Estación de metro pequeña como salida directa al centro comercial y el supermercado de Alcampo. Tiene escaleras mecánicas y los metros pasan con relativa frecuencia. En la imagen el andén de la línea 9 de metro."
"Hace 11 meses","Estación de metro de la línea 9. No había personal de apoyo en las máquinas en caso de duda. Sin acceso para minusválidos o carritos de bebé."
"Hace 2 meses","Muy buena"
"Hace 6 meses","Rápido eficaz, fui con mi padre y trato estupendo"
"Hace un año","Si vas en silla de ruedas o tienes carrito de bebé no puedes salir a la calle ya que no dispone de ascensor. Y al salir te encuentras con pivotes que no te dejan pasar al centro comercial."
"Hace 3 años","No estoy seguro de la pregunta, no se si me está preguntando por el metro de Pío XII ó por el supermercado Alcampo?. Pero de todas maneras contestaré, el metro de Pío XII, son muy amable los empleados y lo suelo usar muy amenudo. Y el supermercado Alcampo,es donde suelo hacer las compras del día a día, buen trato al cliente,y suele estar muy limpio."
"Hace 6 años","Parada de metro de la línea número 9. Tiene dos salidas a lo largo de la Avenida Pío XII. Ninguna de sus entradas está adaptada para discapacitados. Suele haber personal a la entrada que puede ayudarte si tienes algún problema. Tiene una salida al lada de un hipermercado y u  polideportivo municipal y la otra está cerca de la Avenida Caídos de la División Azul."
"Hace 2 meses","Buena."
"Hace 7 años","La estación de metro de PioXII no es de las antiguas ni de las nuevas. Se conserva bien, esta así desde que tengo memoria. No tiene ascensores. Dos tramos de escaleras mecánicas desde las taquillas al anden. El tramo de acceso a la estación no tiene escaleras mecánicas. Con lo que si te encuentras a alguien con carrito de bebé o de la compra, se paciente o ayúdales a subir/bajar, te lo agradecerán. Los tornos del metro son de los antiguos, es necesario llamar a la persona de la  taquilla, para pasar con carritos, etc. Cuidado con el bofetón de calor al entrar, en el anden hay algo más de fresco."
"Hace 7 años","Buena combinación. Al lado de Colombia y de Plaza de Castilla."
"Hace 5 años","es in hiper de mucha calidad en alimentacion.te ayudan los empleados servicio profesional en congelados y pescaderia. una variedad de panes y para tomar cafe macdonalds cerca."
"Hace 2 años","Está bien. Es limpia, ancha y larga. Corresponde a la línea 9 de metro."
"Hace un año","Que sucede en la estación del metro av pio xii vía plaza Castilla?"
"Hace 7 meses","Estación de metro cumple sus funciones"
"Hace 3 años","Estación de metro, situada junto al  centro comercial alcampo"
"Hace 7 años","Estación perteneciente a la Línea 9 (morada) del Metro de Madrid, y correspondiente a la zona A."
"Hace 6 años","Pío XII es una estación del servicio de metro de Madrid línea 9 en el distrito Chamartín en Madrid España"
"Hace 2 años","El campo y mc Donal muy céntrico céntrico y cerca de metro"
"Hace 7 meses","Bien"
"Hace 6 años","Falta ascensor, quien llega con maleta lo tiene  difícil en el tramo hacia fuera."
"Hace 4 años","Estación de metro de la linea 9 sin conexiones."
"Hace 3 años","Bastante bien para comprar"
"Hace 2 años","Buen centro comercial"
"Hace 2 años","Buen producto y buenos precios"
"Hace un año","Es mejor de España"
"Hace 5 años","Yo ahí estudio es una pasada unas instalaciones exclusivas"
"Hace 6 años","MUY BUENO"
"Hace un año","Todo muy bien"
"Hace un año","Es muy bonito"
"Hace un año","Bien"
"Hace 7 años","Una parada más"
"Hace un año","Bien"
"Hace 4 años","Una estación más del Metro, ubicada en el barrio Hispanoamérica"
"Hace 3 años","Un espejo a otra dimensión, nada más, ni siquiera una mención."
"Hace 3 años","Línea 9 (púrpura)"
"Hace 4 meses",""
"Hace 6 meses",""
"Hace 11 meses",""
"Hace un año",""
"Hace un año",""
"Hace un año",""
"Hace un año",""
"Hace un año",""
"Hace un año",""
"Hace un año",""
"Hace un año",""
"Hace 2 años",""
"Hace 2 años",""
"Hace 2 años",""
"Hace 5 años",""
"Hace 6 años",""
"Hace 6 años",""
"Hace 6 años",""
"Hace 7 años",""
"Hace 7 años",""
"Hace 7 años",""
"Hace 7 años",""
"Hace 7 años",""
"Hace 7 años",""
"Hace 7 años",""
