"d4r55","RfnDt","rsqaWe","wiI7pd"
"MJ","1 reseña","Hace 9 meses","Debería pasar el tren a las 06H00 en punto, hay mucha gente esperando, siempre hay retrasos, en muchas otras estaciones pasan a su hora, aquí toca esperar 15 o 20 minutos.  Y tanto la limpieza como escaleras siempre estropeadas."
"alexander barreto","Local Guide · 117 reseñas · 256 fotos","Hace 2 años","La verdad va muy bien   lo malo no tiene ascensor"
"Estefanía Am","10 reseñas · 3 fotos","Hace 9 meses","Siempre tienen una escalera en averías desde hace mínimo 1 año"
"Sagiv Boniel","Local Guide · 71 reseñas · 46 fotos","","Las escaleras mecánicas se estropean cada tres semanas, tiempos de espera muy largos y una estación demasiado profunda. Es hora de poner un ascensor ya, pero hay que mantener la estación abierta mientras. Añado: las salidas a la calle del Pico de los Artilleros están cerradas. Encima con las escaleras mecánicas que no funcionan. Esto con la estupidez de llevar la mascarilla en los trenes. En fin, vaya desgracia de estación."
"Celia Gil","4 reseñas","Hace 8 meses","O la estación de las escaleras mecánicas perpetuamente estropeadas... Es increíble q se pueden estropear cada día.."
"Anonimasintilde","13 reseñas","Hace 5 meses","No accesible, no tiene ascensor. Si tienes discapacidad ajo y agua no podrás usar el metro."
"Jose Martinez","Local Guide · 46 reseñas","Hace un año","La escalera mecanica esta 360 de los 365 dias que tiene un año... dañada, los otros 5 tambien, solo que estan pensando como empeorarla."
"Richie Salazar","Local Guide · 6 reseñas","Hace un año","Va mejor la linea 1 que todos los dias pasan cada 3min, aqui en la 9, si lo pierdes te comes 11 mins, una de las peores, si estoy a 15 mins del centro,¿por que  tengo que antelarme 1 hora todos los dias? como si viviese en getafe vamos"
"Clara García","Local Guide · 314 reseñas · 26 fotos","Hace 4 años","Es una buena estación, aunque carece  de cobertura. Si pillas el metro aquí, olvídate de poder usar el móvil hasta unas cuantas paradas después. Parada limpia, poco abarrotada y bien comunicada."
"Marta","Local Guide · 106 reseñas · 71 fotos","Hace 7 años","No me parece bien q hayan quitado a los empleados de la taquilla...hay cosas q las maquinas no hacen como cambiat un billete dañado y los interfonos no funcionan lo rápido q se necesitan."
"J. Noir","Local Guide · 91 reseñas · 78 fotos","Hace 7 años","Acceso de metro por Pico de los Artilleros sin personal de metro.Ésta estación no tiene ascensor ni está habilitada para personas con movilidad reducida."
"Pedro Julio Silva Blanco","Local Guide · 130 reseñas · 192 fotos","Hace un año","Muy tanquilo el lugar muchas areas verdes ideal para niños."
"Andueza","Local Guide · 40 reseñas · 26 fotos","Hace 7 meses","Le falta ascensor"
"Miguel Farias","Local Guide · 188 reseñas · 96 fotos","Hace un año","Importante boca de entrada a línea de metro 9.."
"Martín u","61 reseñas · 3 fotos","Hace 6 años","Estación sin personal de taquilla y sucia como las demás. Por lo demás bien."
"Luis Duarte","Local Guide · 200 reseñas · 9 fotos","Hace 3 años","está muy bien la estación"
"Carlos García Sanz","Local Guide · 85 reseñas · 48 fotos","Hace un año","Escaleras mecánicas continuamente averiadas"
"Jose vicente Molina armero","Local Guide · 31 reseñas · 26 fotos","Hace 4 años","Es un sector residencial, agradable, por su tranquilidad."
"Andrés Florido","Local Guide · 366 reseñas · 8 fotos","Hace 7 meses","Limpio"
"diego Ubago","Local Guide · 277 reseñas · 51 fotos","Hace 10 meses","El sitio donde creci"
"Miguel Martínez","36 reseñas","Hace 7 años","Estacion Estrella. Punto de recogida de AUTOESCUELAS PREMIUM."
"Ruth Segovia","Local Guide · 105 reseñas · 234 fotos","Hace 7 años","Una estupenda puesta de sol con el Pirulí de fondo"
"Olek'Arte Julia Ramos (oleK`Arte)","Local Guide · 176 reseñas · 397 fotos","Hace 3 años","Abanico Semipericon pintado a mano"
"Marimar Gonzalez","26 reseñas · 1 foto","Hace 6 años","Me gusta"
"Christian Andrés Bahamonde León","Local Guide · 9 reseñas · 156 fotos","Hace 4 años","Lo mejor de Moratalaz.."
"Antonia Gutierrez","6 reseñas · 3 fotos","Hace 6 años","El metro es insoportable"
"Scafaru Florian","Local Guide · 27 reseñas · 1.095 fotos","Hace 7 años","Por la tranquilid"
"Alberto Oropeza","10 reseñas · 2 fotos","Hace 23 horas","Me gusta la zona"
