"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXJCRDBREzildTNVQR7frsuRNsiMdc8baSiOPWf9N0lu0kvY6um=w45-h45-p-rp-mo-ba4-br100","Pere Borras Jover","Local Guide · 72 reseñas · 485 fotos","Hace un año","Muy buena estación. Con diferentes enlaces con otras vías. A demás tiene ascensor y un fácil acceso para silla de ruedas."
"https://lh3.googleusercontent.com/a-/ALV-UjULyNjVlznNoPqwx6YlRvCQ6wEZfGkVTRNSXgZHoXGET-jA9122=w45-h45-p-rp-mo-ba5-br100","Fauty H","Local Guide · 467 reseñas · 176 fotos","Hace 5 años","Metro línea 1. Entrada Santa engracia. Tiene cajero del Popular y 2 máquinas de venta de billetes, 1 de tarjeta y 1 de efectivo+tarjeta."
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w45-h45-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Local Guide · 3.628 reseñas · 8.902 fotos","Hace 3 meses","Parada antigua con una sola línea, estación accesible para personas con movilidad reducida"
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w45-h45-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.805 reseñas · 12.351 fotos","Hace 7 años","Tiene cuatro salidas en la Glorieta del Pintor Sorolla, conocida popularmente como Iglesia. También hay dos ascensores. Hay una quinta salida en la calle Santa Engracia, esquina calle Sagunto, que se construyó posteriormente con la desaparición de la estación de Chamberí. Es una de las estaciones inaugurales del metro de Madrid (1919)."
"https://lh3.googleusercontent.com/a/ACg8ocLnPieFeR1KQSYWHzqnQcQnU7aLLkbQ2wHZOT0IT6dcz2u7Xw=w45-h45-p-rp-mo-br100","Carlos-Javier Sánchez-Seco Vivar","1 reseña","Hace un año","He tratado con Evelin la venta de mi piso y aunque no se haya podido llevar a cabo por haberlo vendido por otro conducto, su profesionalidad y dedicación durante el proceso de venta son dignas de reseña."
"https://lh3.googleusercontent.com/a/ACg8ocK8FCFq9MHZODGg9r_t4feHAWvfO1xags3fHjQLpBbyBWd4sQ=w45-h45-p-rp-mo-ba6-br100","Luis MIGUEL Diaz","Local Guide · 543 reseñas · 156 fotos","Hace un año","La plaza más castiza de Madrid, se llama glorieta del Pintor Sorolla. Iglesia es la estación de metro."
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w45-h45-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Iglesia es una estación del servicio de metro de Madrid línea 1 en una iglesia la estación fue antes por parar en la estación de Chamberí pero en la actualidad pasa por Bilbao al lado de ríos Rosas en la iglesia boda donde se casan el matrimonio de un marido de una mujer en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjVVuR5NEe4ZBPSlK9PYJckuV384IxgebJK0EqJUXNNfFkNmuulNWQ=w45-h45-p-rp-mo-ba6-br100","Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 5 años","Estacion de Iglesia línea 1 del Metro de Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjW5b6G4oMc7mfdL0uSS_n2ug-KEQPMi-JQqiIrhj27k6__ocUGcPg=w45-h45-p-rp-mo-ba6-br100","Gopala","Local Guide · 245 reseñas · 3.055 fotos","Hace 5 años","Es una estación de metro con historia. Tantas y tantos pasaron por aquí... Sorprende estos bellos vagones anaranjados que surgen en medio del bullicio del día. Por cierto que en el metro no sabes nunca si es de dia ni de noche. Con estos vagones, sin embargo llega el día a la estación de Iglesia"
"https://lh3.googleusercontent.com/a-/ALV-UjXpHlqIHVI89ZYv3O1UDsBjmorgVGjhUgNkwAmB7rdKFEx26ljw=w45-h45-p-rp-mo-ba5-br100","Ramon Arceo Rodriguez","Local Guide · 368 reseñas · 1.081 fotos","Hace 2 años","Bien ubicada, estación de Línea 1, acceso para personas de movilidad reducida con ascensor."
"https://lh3.googleusercontent.com/a-/ALV-UjXFMavf_HYQHZJHWvQCpSE-erdGgZeTvXNkQzMZMMxPzpaZvSWj=w45-h45-p-rp-mo-ba4-br100","Dario Fernandez Villalba","Local Guide · 180 reseñas · 122 fotos","Hace un año","Es una zona junto a Chamberí bonita y agradable para vivir."
"https://lh3.googleusercontent.com/a/ACg8ocJAdkENhJmyxCNtvBYf5PrBPf3Ywp5vXFRzf_2Qwh5tq6lBZg=w45-h45-p-rp-mo-ba4-br100","Teresa PGT","Local Guide · 127 reseñas · 1 foto","Hace 5 años","Está adaptado para sillas de ruedas pero ojo con coger el ascensor correcto según a qué dirección se quiera ir"
"https://lh3.googleusercontent.com/a/ACg8ocImRWYC1AyZ6xodqCUdiQhbqBVZzoZSg5Hm8TBoG7jf0rt4Dw=w45-h45-p-rp-mo-br100","mar sanchez Pastor","17 reseñas","Hace un año","Un gran abrazo de Andrea, saludos a todos los amigos de Madrid y en todo el mundo."
"https://lh3.googleusercontent.com/a-/ALV-UjVXZPLy0yhk3B0oCJAGiUZ0s0HNL2H1u0B3z0AZeAdibxn9yFGU=w45-h45-p-rp-mo-ba6-br100","Lola Cibrian Uzal","Local Guide · 687 reseñas · 1.078 fotos","Hace un año","Una plaza muy popular y muy concurrida en el barrio de Chamberí."
"https://lh3.googleusercontent.com/a/ACg8ocLYqxvVWoZpY1TFFE0ouKh95SB7nu_lYGRSxWyi0v--mJYnQQ=w45-h45-p-rp-mo-br100","Mariana Gispert","14 reseñas · 2 fotos","Hace 3 años","ANDREA ES EL MEJOOOOOOR CAMARERO!!!!! El mas amable, atento y divertido!!!! La mejor experiencia del mundo!!!!"
"https://lh3.googleusercontent.com/a/ACg8ocIppS3zVaqZ9ZbeRTLwGHX9f4vgY0__9Rb2gOjyxRFkvLtPFg=w45-h45-p-rp-mo-ba6-br100","eduardo laguna","Local Guide · 463 reseñas · 441 fotos","Hace un año","Poco concurrida y con buenos sitios de ocio cerca"
