"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocIlKkDZzwAHTPtAaE4qDiQi7PWFopEaiE5FaAbSsnWi9aU2GQ=w36-h36-p-rp-mo-br100","juana","1 reseña","Hace 4 meses","Han descuidado la limpieza"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 21.908 fotos","Hace 2 años","Estación de metro que pertenece a Metrosur (Línea 12), estación como otra cualquiera. Dispone de un solo acceso a la calle y ascensores, además de cobertura móvil. La salida está justo enfrente al ambulatorio que es de urgencias los fines de semana."
"https://lh3.googleusercontent.com/a-/ALV-UjUdaHR_62PWgtC2Wz2Fk8bz1ZuQGz1PDnlvGmKYXswbmGfVl4o=w36-h36-p-rp-mo-ba3-br100","Samuel Marugán","Local Guide · 50 reseñas · 15 fotos","Hace 5 años","El Metro va muy lento, llega cada mucho tiempo y hay poco espacio. Recomiendo usar las líneas de autobuses, son más rápidas y cómodas. Que no os engañen, que hayan arreglado la línea no ha servido de mucho"
"https://lh3.googleusercontent.com/a-/ALV-UjX5mjzfqdlLXorntqNHWtTt4-ipP7LEboGPOFWmJviM-iTSepMjxQ=w36-h36-p-rp-mo-ba3-br100","Lidia Garcia","Local Guide · 57 reseñas · 8 fotos","Hace 2 años","El metro que dicen que había refuerzo antes cada 8 o6 minutos haora 10"
"https://lh3.googleusercontent.com/a-/ALV-UjWLACXdJpxAEtH4VPDZ6W-LTnps140tTNMhBX1wAlTzaIgVmXqf=w36-h36-p-rp-mo-ba5-br100","Gabriel Montero Montes","Local Guide · 404 reseñas · 582 fotos","Hace 8 años","La estación de Metro Sur de Parque Lisboa fue inagurada el 11 de abril de 2003. Presta servicio la Linea 12 (Verde oscuro). La estación se encuentra en la intersección de la Avenida Leganés con Calle Príncipe Don Juan Carlos en el municipio de Alcorcón. Esta estación es la más próxima por MetroSur al Corte Inglés del Centro Comercial San José de Valderas."
"https://lh3.googleusercontent.com/a-/ALV-UjUWZJtZmnl8MXF0sOypWSPvlthAZQZ0WX4se3yEqST_TRZDXvd_aw=w36-h36-p-rp-mo-br100","Ángel Pérez","9 reseñas · 3 fotos","Hace 6 años","El Parque de Lisboa fue construido a principios de la década del 70 del siglo pasado; es de lo mejorcito que se construyó en Alcorcón. Está bien dotado de servicios, es una zona cómoda y bien comunicada."
"https://lh3.googleusercontent.com/a/ACg8ocJGVTDqjuXZZUojtQQOLfTUDCX6s64RuPOhFJHEXrV_-z5gPw=w36-h36-p-rp-mo-br100","Susy S","10 reseñas","Hace un año","Por dios!las escaleras llevan mucho tiempo averiadas."
"https://lh3.googleusercontent.com/a-/ALV-UjU-RxgaKwCx3xUEFLlNVkQ3jD8UDdMw-9wDvH01BveV7ObT1oGL=w36-h36-p-rp-mo-ba2-br100","Cesar Vidaurreta","Local Guide · 34 reseñas · 1 foto","Hace 3 años","Barrio decrépito pasado de moda cualquier urbanizacion de alrededor le da sopas con hondas."
"https://lh3.googleusercontent.com/a/ACg8ocKM5KjLa74H0NzHmA2gkjuKT7Q215HKj_RADd7D5RROlKae9g=w36-h36-p-rp-mo-ba3-br100","Teresa Palacios Moran","Local Guide · 9 reseñas · 118 fotos","Hace 3 años","De maravilla hemos pasado muy lindo"
"https://lh3.googleusercontent.com/a-/ALV-UjV47KkalfLhk-lWdHXHcGN8MLTUsCDZcpVbwfeSAQw802icjuUhJQ=w36-h36-p-rp-mo-ba7-br100","Pablo Román (Greydrako)","Local Guide · 431 reseñas · 366 fotos","Hace 11 meses","Bueno podría ser mejor"
"https://lh3.googleusercontent.com/a-/ALV-UjVSY9zsfQo51b56TadRWkS0ApDNy5UTsMHqlJV1fGHksHMkXFPpIQ=w36-h36-p-rp-mo-ba4-br100","Charly Fernández","Local Guide · 144 reseñas · 119 fotos","Hace 6 años","Buen lugar para dar un paseo y estar con los amigous"
"https://lh3.googleusercontent.com/a/ACg8ocIF3QmaENQvg_Jm9kT4n_5CvC2vObopme_rqVdoxIfNFI4=w36-h36-p-rp-mo-br100","miriam galvez","2 reseñas","Hace un año","Le falta mucho por mejorar"
"https://lh3.googleusercontent.com/a-/ALV-UjXw_Q_hqth02kAGHCa3ofp3tVyM80iKt6yssFZYLsrnAYluLnAv=w36-h36-p-rp-mo-ba5-br100","JUAN MANUEL ESCRIBANO SILVAN","Local Guide · 333 reseñas · 423 fotos","Hace 6 años","Espacio agradable y cómodo para pasar un buen rato."
"https://lh3.googleusercontent.com/a/ACg8ocK8AyAZbioTntdenTm9bgJvglp7N_Sr8rgbW45YrRyybJ9PhQ=w36-h36-p-rp-mo-br100","pablo benito","1 reseña","Hace 5 años","Mala atención y escaso gusto en atender"
"https://lh3.googleusercontent.com/a-/ALV-UjXCyEJEIsQ27tqsvRtktTtUOiR_1cAY60eZxPHakObqyUO3AeNglw=w36-h36-p-rp-mo-ba4-br100","Dilenia Ramírez Reyes","Local Guide · 125 reseñas · 254 fotos","Hace 3 años","Muy bien"
"https://lh3.googleusercontent.com/a-/ALV-UjWd9zstJTR3KN8L2M3vrabnzl6XAibjJHziLjSGpVhFjpUREaFk=w36-h36-p-rp-mo-ba3-br100","Fernando El pro 15","Local Guide · 40 reseñas · 36 fotos","Hace 4 años","Es que me encanta el metro"
"https://lh3.googleusercontent.com/a-/ALV-UjVo9mROkbBNuBiqe_NoMvtRehFKKpDUfG1X5mI26lAadMNlyemoxQ=w36-h36-p-rp-mo-ba5-br100","Gervera Blanco","Local Guide · 187 reseñas · 464 fotos","Hace un año","Excelente lugar"
"https://lh3.googleusercontent.com/a-/ALV-UjUgpfWgwCjtxfpXjdoknuufUVULl-7p9yTSSFyY0SzxphvTsTvgsA=w36-h36-p-rp-mo-br100","Javier Martagón Mármol","9 reseñas · 2 fotos","Hace 6 años","Muy chulo"
